position,champion,build_path,total_games,win_count,win_rate
BOTTOM,닐라,도미닉 경의 인사 ➜ 징수의 총 ➜ 무한의 대검,10,6,60.0
BOTTOM,닐라,무한의 대검 ➜ 도미닉 경의 인사 ➜ 징수의 총,6,4,66.67
BOTTOM,닐라,무한의 대검 ➜ 롱소드 ➜ 징수의 총,5,4,80.0
BOTTOM,닐라,무한의 대검 ➜ 불멸의 철갑궁 ➜ 징수의 총,5,3,60.0
BOTTOM,닐라,무한의 대검 ➜ 징수의 총 ➜ 도미닉 경의 인사,13,8,61.54
BOTTOM,닐라,무한의 대검 ➜ 징수의 총 ➜ 민첩성의 망토,6,3,50.0
BOTTOM,닐라,무한의 대검 ➜ 징수의 총 ➜ 최후의 속삭임,6,3,50.0
BOTTOM,닐라,무한의 대검 ➜ 징수의 총 ➜ 필멸자의 운명,16,8,50.0
BOTTOM,닐라,민첩성의 망토 ➜ 징수의 총 ➜ 무한의 대검,5,1,20.0
BOTTOM,닐라,불멸의 철갑궁 ➜ 징수의 총 ➜ 무한의 대검,8,3,37.5
BOTTOM,닐라,징수의 총 ➜ B.F. 대검 ➜ 곡괭이,9,3,33.33
BOTTOM,닐라,징수의 총 ➜ B.F. 대검 ➜ 민첩성의 망토,5,1,20.0
BOTTOM,닐라,징수의 총 ➜ 곡괭이 ➜ B.F. 대검,5,3,60.0
BOTTOM,닐라,징수의 총 ➜ 곡괭이 ➜ 민첩성의 망토,5,0,0.0
BOTTOM,닐라,징수의 총 ➜ 도미닉 경의 인사 ➜ 무한의 대검,5,4,80.0
BOTTOM,닐라,징수의 총 ➜ 무한의 대검 ➜ 도미닉 경의 인사,32,25,78.12
BOTTOM,닐라,징수의 총 ➜ 무한의 대검 ➜ 롱소드,9,6,66.67
BOTTOM,닐라,징수의 총 ➜ 무한의 대검 ➜ 민첩성의 망토,15,7,46.67
BOTTOM,닐라,징수의 총 ➜ 무한의 대검 ➜ 불멸의 철갑궁,13,13,100.0
BOTTOM,닐라,징수의 총 ➜ 무한의 대검 ➜ 유령 무희,7,3,42.86
BOTTOM,닐라,징수의 총 ➜ 무한의 대검 ➜ 절정의 화살,13,6,46.15
BOTTOM,닐라,징수의 총 ➜ 무한의 대검 ➜ 최후의 속삭임,8,2,25.0
BOTTOM,닐라,징수의 총 ➜ 무한의 대검 ➜ 필멸자의 운명,14,7,50.0
