position,champion,avg_cs,avg_gold,avg_plates,avg_early_kills
TOP,나르,197.973,10715.4749,15.31,2.29
JUNGLE,뽀삐,160.9017,10891.7763,24.82,3.05
MIDDLE,벡스,195.1411,10941.1004,16.82,2.55
BOTTOM,징크스,220.7506,13266.2715,16.29,2.94
UTILITY,브라움,25.4711,7551.7131,16.46,1.36
TOP,야스오,211.6823,10996.624,16.7,2.55
JUNGLE,암베사,187.323,12079.7572,25.23,2.76
MIDDLE,신드라,208.8543,11292.6861,17.43,2.04
BOTTOM,아펠리오스,213.1312,13420.3626,17.57,2.84
UTILITY,바드,26.1833,8025.0617,16.31,1.71
TOP,스웨인,186.5415,10282.7905,14.41,2.35
JUNGLE,리 신,171.4005,11561.3311,24.42,3.53
MIDDLE,갈리오,183.5355,9726.6507,17.25,2.06
BOTTOM,루시안,214.094,13186.8451,16.61,3.24
UTILITY,유미,16.1522,7426.1998,17.99,1.46
TOP,피오라,207.9271,11722.0095,16.23,2.5
JUNGLE,탈론,197.1371,13486.0279,25.08,3.42
MIDDLE,아리,203.1435,10975.4984,17.22,2.45
BOTTOM,유나라,219.4425,13496.333,16.4,2.97
UTILITY,룰루,26.8882,7595.8062,17.34,1.59
TOP,갈리오,184.2161,9716.5165,14.47,1.71
JUNGLE,비에고,184.0495,12392.5199,25.15,3.23
MIDDLE,사일러스,173.1389,10330.9006,17.14,2.86
TOP,잭스,187.998,10810.5794,16.65,2.33
JUNGLE,신 짜오,167.9818,11101.6366,25.43,2.96
BOTTOM,카이사,216.7977,13805.3784,16.8,2.96
UTILITY,엘리스,30.2819,8988.263,15.88,2.74
TOP,럼블,193.0524,10796.7563,17.5,2.23
MIDDLE,아칼리,186.975,10962.7237,17.51,2.77
TOP,크산테,191.2616,10154.0292,17.34,2.12
JUNGLE,바이,169.1155,10920.0154,26.02,2.46
MIDDLE,르블랑,187.5848,11066.7279,17.74,2.83
UTILITY,사일러스,35.0723,9158.3213,15.76,2.69
TOP,암베사,195.6966,10653.3486,17.96,2.15
MIDDLE,라이즈,222.7161,11276.9715,16.75,2.13
BOTTOM,제라스,212.4882,12791.7087,16.69,2.42
UTILITY,알리스타,24.1644,7441.3607,16.53,1.43
TOP,이렐리아,220.1137,11871.6189,15.64,2.93
JUNGLE,제이스,194.2178,13503.7264,25.33,3.13
UTILITY,라칸,28.5574,7639.4704,16.54,1.43
TOP,판테온,177.1639,10497.2919,16.49,2.67
MIDDLE,탈리야,206.51,10835.4845,17.34,2.23
BOTTOM,스몰더,230.829,13475.2703,17.37,2.56
JUNGLE,누누와 윌럼프,164.7502,10648.5292,24.19,2.65
MIDDLE,나서스,200.4444,10692.5778,16.8,1.68
TOP,그웬,203.4803,11291.3273,15.73,2.14
JUNGLE,말파이트,177.8935,10829.1503,26.03,2.42
MIDDLE,키아나,184.5701,11631.667,16.33,3.64
BOTTOM,시비르,234.1678,13557.8108,16.47,2.64
UTILITY,뽀삐,28.9192,8047.2405,16.58,1.9
MIDDLE,애니비아,201.701,10786.4934,17.09,2.4
BOTTOM,이즈리얼,214.8702,12929.1979,16.55,2.89
TOP,룰루,170.0473,9669.432,17.64,1.96
JUNGLE,사일러스,170.4531,11580.5069,24.58,3.17
BOTTOM,제리,235.1787,14072.9652,18.07,2.78
UTILITY,쓰레쉬,29.9562,7710.4839,17.06,1.53
TOP,아트록스,183.7481,10088.1257,16.82,2.18
JUNGLE,에코,185.41,12618.5093,24.27,3.28
MIDDLE,카타리나,179.7145,11529.6593,17.07,3.63
JUNGLE,마스터 이,180.6262,12210.4203,24.1,3.6
BOTTOM,케이틀린,222.6402,13446.6224,16.31,2.88
MIDDLE,조이,188.9128,10772.9597,16.66,2.84
BOTTOM,벨코즈,211.7338,12697.9754,16.26,2.59
UTILITY,카르마,31.3035,7928.6921,16.72,1.63
TOP,라이즈,222.0959,11356.3229,15.97,1.96
MIDDLE,리산드라,196.9769,10527.8949,17.49,2.14
JUNGLE,헤카림,201.1808,11885.0483,23.78,3.17
UTILITY,노틸러스,28.1033,7672.306,16.28,1.7
TOP,바루스,190.1375,11135.221,16.63,2.68
MIDDLE,빅토르,207.112,10696.2712,17.86,1.95
UTILITY,마오카이,31.0216,7922.3483,16.59,1.65
BOTTOM,트리스타나,206.5384,13642.9655,16.15,3.34
MIDDLE,야스오,210.4621,10977.2138,16.97,2.53
UTILITY,나미,26.0312,7879.3927,17.05,1.49
TOP,요네,210.4487,11031.5898,17.77,2.27
JUNGLE,니달리,178.972,11788.2893,24.0,3.47
UTILITY,판테온,34.0967,9219.8392,16.22,2.8
TOP,갱플랭크,209.3984,12587.4956,17.11,2.2
JUNGLE,카직스,184.0167,13330.248,24.99,3.49
MIDDLE,다이애나,189.8098,10989.2819,17.46,2.78
UTILITY,니코,35.5337,8174.8419,16.42,1.8
TOP,루시안,210.8704,11531.2407,16.0,2.05
JUNGLE,그웬,191.3826,12397.9555,25.0,2.51
MIDDLE,요네,216.0596,10977.5489,17.38,2.16
TOP,티모,202.9969,10828.1761,15.13,2.23
MIDDLE,트리스타나,209.9089,12036.3154,17.3,2.71
BOTTOM,코르키,217.3396,13462.6942,16.03,3.0
BOTTOM,세라핀,184.4603,10827.1429,16.74,2.18
UTILITY,잭스,37.9286,8290.0357,16.46,1.86
TOP,탐 켄치,168.6758,9555.7167,16.89,2.02
MIDDLE,누누와 윌럼프,155.524,10576.6486,17.2,3.06
MIDDLE,아크샨,198.9176,12596.1689,16.56,3.24
JUNGLE,나피리,184.2375,12188.8025,25.7,3.32
MIDDLE,니코,192.0903,10524.2438,16.87,2.23
TOP,사일러스,170.0848,10147.3408,16.37,2.43
JUNGLE,판테온,166.0052,11760.2416,24.16,3.39
BOTTOM,진,213.1373,13045.8442,16.9,2.95
TOP,오른,177.0013,9584.5964,18.0,1.7
JUNGLE,자이라,210.8278,12348.3749,24.62,2.89
MIDDLE,이즈리얼,209.4286,11566.9796,17.54,2.36
TOP,말파이트,181.6152,9751.6834,16.38,1.9
MIDDLE,이렐리아,226.2317,12260.4486,16.72,3.19
MIDDLE,레넥톤,200.268,10831.972,16.72,2.46
TOP,녹턴,186.2424,10457.3586,16.5,2.17
JUNGLE,키아나,193.139,13566.3577,24.86,3.39
TOP,레넥톤,203.3049,10830.6812,16.02,2.34
MIDDLE,제드,198.8407,12038.509,17.34,2.73
JUNGLE,녹턴,181.9388,11574.2579,25.44,2.98
MIDDLE,오로라,199.7545,11070.7119,17.34,2.56
TOP,리븐,193.6094,11273.8148,15.8,2.51
MIDDLE,오리아나,210.2581,10840.8739,17.17,2.13
TOP,요릭,217.8893,11581.9578,15.11,1.98
JUNGLE,제드,191.686,13324.3927,25.21,3.33
TOP,신지드,214.0773,10766.3294,16.88,1.88
JUNGLE,오공,174.9027,11384.1275,26.82,2.64
BOTTOM,미스 포츈,216.1843,13819.7845,16.46,2.85
JUNGLE,릴리아,195.7134,11924.7897,25.08,2.79
BOTTOM,바루스,210.1219,12925.4274,16.32,3.01
TOP,베인,192.8847,10937.7605,14.3,2.25
BOTTOM,닐라,205.7383,13734.4873,15.52,3.02
JUNGLE,킨드레드,180.7451,12193.4504,23.28,3.39
TOP,카밀,184.6964,10982.6612,16.55,2.32
UTILITY,렐,27.4065,7883.8532,16.54,1.61
TOP,피즈,193.6154,11031.5385,27.85,2.2
TOP,자헨,190.6593,10561.0461,16.63,2.1
UTILITY,소라카,25.1416,7454.9191,16.94,1.44
JUNGLE,렉사이,168.7462,11527.1089,23.77,3.36
UTILITY,타릭,36.3337,7669.2617,15.6,1.51
UTILITY,렝가,48.48,9048.696,15.31,2.57
MIDDLE,비에고,190.3373,10994.9679,16.88,2.62
BOTTOM,직스,221.9117,12906.9373,15.83,2.32
TOP,카시오페아,204.2377,10783.6143,16.28,2.45
UTILITY,파이크,28.1094,9022.6261,16.66,2.48
JUNGLE,자르반 4세,163.2267,10992.8499,25.2,2.75
UTILITY,럭스,41.5503,8684.2374,16.56,1.98
MIDDLE,탈론,199.8585,12014.5412,16.93,3.34
UTILITY,르블랑,33.2342,9163.4313,16.72,2.65
TOP,케넨,198.6115,11251.0456,16.41,2.3
MIDDLE,트위스티드 페이트,200.0794,11716.1798,17.1,2.13
UTILITY,레오나,28.8857,7662.1316,16.13,1.54
MIDDLE,흐웨이,207.0822,10864.0357,18.55,1.94
UTILITY,갈리오,31.6774,7843.3733,17.19,1.74
JUNGLE,탈리야,200.235,12893.4687,24.6,3.05
UTILITY,세나,35.359,9239.9448,16.58,1.79
JUNGLE,엘리스,158.3992,11460.6565,24.54,3.71
BOTTOM,드레이븐,211.1293,14262.8808,16.19,3.57
TOP,문도 박사,197.8781,10507.8185,16.77,2.02
UTILITY,벨코즈,42.1511,8951.0222,16.11,2.12
TOP,사이온,196.4215,10241.5452,17.13,1.85
TOP,누누와 윌럼프,121.6667,7485.0,13.67,1.5
UTILITY,니달리,32.5653,8358.9837,15.69,1.93
JUNGLE,세주아니,161.5873,10510.5154,24.95,2.35
MIDDLE,갱플랭크,235.2,13360.3647,16.99,1.9
UTILITY,피들스틱,35.2465,8074.4688,15.82,1.7
TOP,아칼리,185.5689,10737.8053,16.42,2.62
MIDDLE,아지르,217.3577,11292.9597,18.29,1.98
JUNGLE,아트록스,171.8301,10944.9359,25.74,2.89
MIDDLE,초가스,190.5753,10313.1096,17.69,2.26
BOTTOM,자야,221.1748,13245.0716,16.35,2.93
TOP,세트,177.9521,10495.2231,16.77,2.45
JUNGLE,벨베스,181.3152,12125.4175,23.39,3.59
TOP,일라오이,228.1209,11650.3048,16.55,2.3
JUNGLE,그레이브즈,205.2341,13006.2525,25.76,2.95
BOTTOM,애쉬,202.0394,12013.6854,16.92,2.55
MIDDLE,모데카이저,190.5079,10808.6825,19.0,2.6
TOP,렝가,191.4962,11095.3878,15.67,2.42
TOP,클레드,189.3321,11095.2604,16.09,2.65
UTILITY,조이,40.9429,9056.4714,17.15,2.39
BOTTOM,칼리스타,206.7579,13067.5905,14.56,3.79
MIDDLE,스웨인,185.8741,10313.5843,16.87,2.41
BOTTOM,블라디미르,208.5714,14545.1429,22.43,2.86
TOP,블라디미르,203.7353,10873.3739,16.9,2.25
MIDDLE,에코,196.8158,11299.6972,16.9,2.82
TOP,렉사이,188.9241,10805.3192,16.05,2.13
MIDDLE,파이크,161.75,11824.2083,17.04,3.23
JUNGLE,문도 박사,182.5795,11144.0925,27.64,2.32
UTILITY,블리츠크랭크,25.3212,7575.8557,16.8,1.53
TOP,우디르,189.119,10279.7653,14.09,2.49
BOTTOM,멜,214.2432,12818.9459,15.74,3.3
JUNGLE,케인,175.6838,11959.6099,23.48,3.08
MIDDLE,블라디미르,204.3648,10886.9247,17.4,2.2
TOP,리산드라,190.0483,9967.331,15.23,1.89
TOP,오로라,195.2395,10661.3852,15.82,2.27
TOP,뽀삐,172.9293,9742.852,16.23,2.2
UTILITY,스웨인,39.7254,8633.9407,16.05,2.18
TOP,제이스,208.8066,11690.7166,18.32,2.47
MIDDLE,카시오페아,204.6931,10756.6221,17.47,2.48
TOP,트위스티드 페이트,190.88,11306.86,15.26,2.06
JUNGLE,피들스틱,175.5118,11303.0211,24.89,2.62
MIDDLE,스몰더,225.3244,11785.2074,17.93,2.14
TOP,트리스타나,207.129,11904.4516,15.37,2.65
TOP,자르반 4세,176.8333,10436.5556,14.83,1.43
MIDDLE,사이온,201.733,10719.8525,16.62,1.9
JUNGLE,잭스,174.4813,11629.61,24.34,2.89
TOP,하이머딩거,202.994,11090.5479,17.0,2.63
TOP,애니비아,189.0052,10455.2813,17.17,2.36
UTILITY,람머스,30.5,8028.4023,16.05,1.81
MIDDLE,멜,210.1257,11390.9527,18.52,2.69
TOP,케일,213.1224,11131.4464,16.53,2.06
JUNGLE,카서스,207.8095,13291.2833,25.27,3.4
MIDDLE,그라가스,180.1225,10406.6838,16.78,2.41
TOP,볼리베어,183.118,10481.428,16.45,2.34
UTILITY,오리아나,39.2222,7832.0741,15.52,2.0
BOTTOM,사미라,200.7145,13530.5,16.77,4.01
TOP,세주아니,182.6356,10172.5385,17.6,2.16
TOP,제드,203.2571,12324.0857,16.76,2.19
JUNGLE,다이애나,191.7663,11885.2847,25.01,3.08
JUNGLE,럼블,196.1277,12973.1702,26.0,2.57
TOP,다리우스,198.206,10993.4555,15.84,2.49
MIDDLE,암베사,194.6561,10868.9841,16.77,2.6
JUNGLE,트런들,156.4179,10428.0647,23.19,2.71
BOTTOM,야스오,182.4315,11498.4694,14.92,3.46
UTILITY,세주아니,31.7895,7656.3684,15.28,2.0
TOP,올라프,198.2173,11512.8043,15.11,2.73
UTILITY,애쉬,39.3375,8281.9125,16.52,1.65
UTILITY,진,55.1667,10885.3333,14.58,2.5
UTILITY,애니비아,39.246,8453.5714,15.22,1.96
UTILITY,모르가나,31.2879,8154.5923,16.89,1.62
UTILITY,질리언,33.8014,7939.5616,16.2,1.65
TOP,퀸,195.4423,11393.1972,15.43,2.38
JUNGLE,자크,179.2771,11523.7414,24.39,2.59
UTILITY,탐 켄치,26.9861,7842.2997,18.16,1.7
UTILITY,그라가스,30.2258,8039.7204,16.38,1.58
UTILITY,레나타 글라스크,28.9522,7657.8048,16.67,1.56
TOP,리 신,191.9262,10684.3154,16.7,2.74
TOP,그라가스,178.3315,9871.4099,16.63,1.95
TOP,자크,173.8023,9636.5141,17.68,1.96
TOP,워윅,173.9676,10218.6394,15.99,2.78
JUNGLE,샤코,169.7013,12295.0479,25.69,3.82
MIDDLE,루시안,211.8455,11409.7,15.89,2.23
UTILITY,세라핀,30.8909,7846.2464,18.1,1.74
UTILITY,쉔,31.7136,8173.6893,16.33,1.86
MIDDLE,트린다미어,214.3247,11623.5258,17.67,2.77
TOP,아이번,163.1653,9089.6364,15.72,1.87
TOP,쉔,168.323,9633.6443,16.55,2.04
MIDDLE,카밀,170.6944,10158.6389,16.14,2.53
BOTTOM,베인,194.7251,12343.0893,17.77,2.88
MIDDLE,아우렐리온 솔,196.7302,11015.3736,17.58,2.26
UTILITY,카밀,33.1362,9196.4475,15.71,2.84
UTILITY,샤코,32.8614,9346.4543,17.47,2.44
MIDDLE,세라핀,174.9388,9957.1837,17.5,1.91
MIDDLE,제라스,196.326,11151.884,17.93,2.41
JUNGLE,이블린,173.3396,12087.3258,24.67,3.62
MIDDLE,카르마,176.5078,9408.0469,17.56,1.69
MIDDLE,코르키,221.6713,11711.9367,15.86,2.24
UTILITY,소나,27.6801,8020.7835,18.07,1.58
TOP,니달리,186.6893,10861.5989,16.1,3.06
MIDDLE,케인,194.3333,10343.0,17.33,2.0
TOP,아지르,222.1589,11812.0662,16.55,1.87
MIDDLE,모르가나,186.9514,10142.6595,17.83,2.07
JUNGLE,렝가,204.4351,12943.1908,23.8,3.38
UTILITY,자르반 4세,35.6154,8532.0989,15.91,2.31
UTILITY,트위치,43.8308,10559.8462,17.7,3.38
MIDDLE,판테온,172.4407,11129.6442,16.1,3.55
BOTTOM,스웨인,197.096,12207.0278,15.43,3.08
UTILITY,아무무,29.71,7889.57,16.78,1.6
JUNGLE,다리우스,162.4706,10513.8824,18.88,2.88
MIDDLE,카사딘,202.6061,11951.7199,17.35,2.1
MIDDLE,클레드,176.592,10537.688,15.38,2.65
MIDDLE,녹턴,187.3973,10916.4247,17.63,2.7
MIDDLE,바루스,192.7246,11840.1078,15.51,3.31
TOP,르블랑,185.5882,10750.6176,13.52,2.67
TOP,트런들,205.0569,11402.0976,15.11,2.36
MIDDLE,베이가,210.0335,11482.8196,17.86,2.24
TOP,벨코즈,179.7576,9987.9697,17.09,2.07
BOTTOM,초가스,182.1071,11459.4643,12.46,3.41
UTILITY,멜,44.595,9164.355,17.92,2.79
UTILITY,밀리오,26.0676,7417.9513,18.27,1.2
TOP,신드라,207.7429,11161.6286,14.91,2.21
JUNGLE,람머스,163.8424,10766.0482,26.4,2.24
BOTTOM,카시오페아,206.1004,12367.3271,15.25,3.76
BOTTOM,카서스,208.3197,13586.8279,16.17,4.42
BOTTOM,베이가,215.5149,13258.1716,17.08,2.08
MIDDLE,말자하,222.0832,11308.7931,18.13,1.81
BOTTOM,애니비아,185.0588,10532.8824,18.5,3.19
UTILITY,잔나,27.3984,7849.5234,16.66,1.57
UTILITY,흐웨이,40.3608,8615.4742,16.27,1.81
MIDDLE,직스,214.0568,11440.9148,17.28,2.24
MIDDLE,벨코즈,201.6923,11233.6154,17.56,2.6
TOP,트린다미어,213.9746,11788.1128,16.05,2.84
MIDDLE,쉔,183.5,10338.4545,15.1,2.55
BOTTOM,트위치,184.2432,12837.9584,16.87,3.63
TOP,스몰더,223.0417,11907.0938,16.32,1.79
TOP,코르키,213.3474,11264.8737,14.37,2.07
JUNGLE,자헨,170.2817,11190.2676,24.49,2.76
MIDDLE,제이스,212.2759,11998.6705,16.87,2.75
MIDDLE,자크,163.2056,9538.2617,16.59,2.42
TOP,마오카이,175.2573,9405.835,18.92,1.68
MIDDLE,자이라,219.3529,11016.3235,19.55,1.71
UTILITY,리산드라,40.1429,7612.0714,13.44,1.58
MIDDLE,피즈,188.5016,11490.2074,17.41,2.92
UTILITY,크산테,36.5636,7742.6727,16.63,2.03
TOP,엘리스,176.3333,10668.8333,14.67,2.36
UTILITY,신지드,47.381,8138.0476,12.81,1.76
TOP,나서스,182.3388,10283.2336,15.76,1.68
TOP,우르곳,204.1426,11870.2004,15.46,2.37
MIDDLE,크산테,196.2376,10224.8713,15.58,1.87
BOTTOM,코그모,214.8505,13268.3452,15.71,2.92
BOTTOM,아우렐리온 솔,213.958,12981.0252,17.06,2.75
UTILITY,우디르,45.7857,8088.8571,16.25,1.43
UTILITY,말파이트,42.7857,9172.1429,27.29,2.11
TOP,조이,188.12,10803.42,16.51,2.5
MIDDLE,자헨,195.7625,10442.2875,18.21,1.98
UTILITY,스카너,31.2391,8633.9203,17.6,2.02
UTILITY,아우렐리온 솔,22.5,4613.5,4.0,2.0
