position,champion,rune_key,rune_main,rune_sub,total_games,win_count,win_rate
BOTTOM,그레이브즈,기민한 발놀림,정밀,영감,8,4,50.0
BOTTOM,닐라,정복자,정밀,결의,7,2,28.57
BOTTOM,닐라,정복자,정밀,영감,720,404,56.11
BOTTOM,닐라,정복자,정밀,지배,19,8,42.11
BOTTOM,드레이븐,집중 공격,정밀,마법,13,5,38.46
BOTTOM,드레이븐,집중 공격,정밀,영감,84,46,54.76
BOTTOM,드레이븐,집중 공격,정밀,지배,25,16,64.0
BOTTOM,드레이븐,치명적 속도,정밀,마법,132,56,42.42
BOTTOM,드레이븐,치명적 속도,정밀,영감,1199,625,52.13
BOTTOM,드레이븐,치명적 속도,정밀,지배,31,14,45.16
BOTTOM,렝가,정복자,정밀,결의,9,8,88.89
BOTTOM,루시안,감전,지배,마법,29,14,48.28
BOTTOM,루시안,감전,지배,영감,9,4,44.44
BOTTOM,루시안,선제공격,영감,마법,58,31,53.45
BOTTOM,루시안,선제공격,영감,정밀,31,12,38.71
BOTTOM,루시안,집중 공격,정밀,결의,10,5,50.0
BOTTOM,루시안,집중 공격,정밀,영감,7653,3788,49.5
BOTTOM,루시안,집중 공격,정밀,지배,13,9,69.23
BOTTOM,루시안,치명적 속도,정밀,영감,36,12,33.33
BOTTOM,멜,선제공격,영감,마법,11,5,45.45
BOTTOM,멜,신비로운 유성,마법,영감,67,33,49.25
BOTTOM,멜,신비로운 유성,마법,정밀,168,82,48.81
BOTTOM,멜,콩콩이 소환,마법,영감,5,4,80.0
BOTTOM,미스 포츈,선제공격,영감,마법,1379,670,48.59
BOTTOM,미스 포츈,선제공격,영감,정밀,66,32,48.48
BOTTOM,미스 포츈,신비로운 유성,마법,영감,5,1,20.0
BOTTOM,미스 포츈,어둠의 수확,지배,영감,10,7,70.0
BOTTOM,미스 포츈,어둠의 수확,지배,정밀,8,4,50.0
BOTTOM,미스 포츈,정복자,정밀,영감,5,3,60.0
BOTTOM,미스 포츈,집중 공격,정밀,마법,10,3,30.0
BOTTOM,미스 포츈,집중 공격,정밀,영감,2319,1263,54.46
BOTTOM,미스 포츈,집중 공격,정밀,지배,5,2,40.0
BOTTOM,미스 포츈,치명적 속도,정밀,영감,103,60,58.25
BOTTOM,바루스,선제공격,영감,마법,7,3,42.86
BOTTOM,바루스,신비로운 유성,마법,영감,1467,709,48.33
BOTTOM,바루스,신비로운 유성,마법,정밀,23,14,60.87
BOTTOM,바루스,집중 공격,정밀,결의,60,28,46.67
BOTTOM,바루스,집중 공격,정밀,영감,15,10,66.67
BOTTOM,바루스,치명적 속도,정밀,결의,14,5,35.71
BOTTOM,바루스,치명적 속도,정밀,영감,518,250,48.26
BOTTOM,바루스,칼날비,지배,마법,6,2,33.33
BOTTOM,바루스,칼날비,지배,영감,13,4,30.77
BOTTOM,바루스,칼날비,지배,정밀,6,2,33.33
BOTTOM,베이가,선제공격,영감,마법,67,38,56.72
BOTTOM,베이가,선제공격,영감,정밀,25,18,72.0
BOTTOM,베이가,신비로운 유성,마법,영감,9,5,55.56
BOTTOM,베이가,콩콩이 소환,마법,영감,16,10,62.5
BOTTOM,베이가,콩콩이 소환,마법,정밀,5,2,40.0
BOTTOM,베인,기민한 발놀림,정밀,영감,14,6,42.86
BOTTOM,베인,기민한 발놀림,정밀,지배,10,4,40.0
BOTTOM,베인,집중 공격,정밀,결의,6,3,50.0
BOTTOM,베인,집중 공격,정밀,영감,27,11,40.74
BOTTOM,베인,집중 공격,정밀,지배,11,3,27.27
BOTTOM,베인,치명적 속도,정밀,결의,78,38,48.72
BOTTOM,베인,치명적 속도,정밀,마법,11,5,45.45
BOTTOM,베인,치명적 속도,정밀,영감,99,47,47.47
BOTTOM,베인,치명적 속도,정밀,지배,27,10,37.04
BOTTOM,벨코즈,선제공격,영감,마법,38,22,57.89
BOTTOM,벨코즈,신비로운 유성,마법,영감,355,191,53.8
BOTTOM,벨코즈,신비로운 유성,마법,정밀,38,17,44.74
BOTTOM,벨코즈,신비로운 유성,마법,지배,12,6,50.0
BOTTOM,브랜드,신비로운 유성,마법,영감,6,5,83.33
BOTTOM,블라디미르,정복자,정밀,영감,7,3,42.86
BOTTOM,비에고,칼날비,지배,정밀,10,5,50.0
BOTTOM,빅토르,콩콩이 소환,마법,결의,36,23,63.89
BOTTOM,빅토르,콩콩이 소환,마법,영감,22,14,63.64
BOTTOM,빅토르,콩콩이 소환,마법,정밀,6,2,33.33
BOTTOM,사미라,정복자,정밀,결의,36,17,47.22
BOTTOM,사미라,정복자,정밀,영감,218,114,52.29
BOTTOM,사미라,정복자,정밀,지배,322,158,49.07
BOTTOM,세나,기민한 발놀림,정밀,마법,16,5,31.25
BOTTOM,세나,기민한 발놀림,정밀,영감,11,4,36.36
BOTTOM,세라핀,선제공격,영감,마법,6,2,33.33
BOTTOM,세라핀,선제공격,영감,정밀,11,8,72.73
BOTTOM,세라핀,정복자,정밀,영감,8,4,50.0
BOTTOM,세라핀,콩콩이 소환,마법,결의,17,7,41.18
BOTTOM,세라핀,콩콩이 소환,마법,정밀,6,3,50.0
BOTTOM,스몰더,기민한 발놀림,정밀,결의,6,4,66.67
BOTTOM,스몰더,기민한 발놀림,정밀,마법,57,27,47.37
BOTTOM,스몰더,기민한 발놀림,정밀,영감,922,466,50.54
BOTTOM,스몰더,신비로운 유성,마법,영감,121,70,57.85
BOTTOM,스몰더,정복자,정밀,마법,11,5,45.45
BOTTOM,스몰더,정복자,정밀,영감,32,19,59.38
BOTTOM,스몰더,집중 공격,정밀,영감,93,53,56.99
BOTTOM,스몰더,치명적 속도,정밀,영감,17,9,52.94
BOTTOM,스웨인,어둠의 수확,지배,정밀,70,38,54.29
BOTTOM,스웨인,정복자,정밀,결의,44,26,59.09
BOTTOM,스웨인,정복자,정밀,마법,452,255,56.42
BOTTOM,스웨인,정복자,정밀,영감,205,117,57.07
BOTTOM,스웨인,정복자,정밀,지배,5,3,60.0
BOTTOM,시비르,기민한 발놀림,정밀,마법,14,8,57.14
BOTTOM,시비르,기민한 발놀림,정밀,영감,9,4,44.44
BOTTOM,시비르,집중 공격,정밀,마법,5,4,80.0
BOTTOM,시비르,집중 공격,정밀,영감,55,28,50.91
BOTTOM,시비르,치명적 속도,정밀,마법,116,64,55.17
BOTTOM,시비르,치명적 속도,정밀,영감,3151,1673,53.09
BOTTOM,시비르,콩콩이 소환,마법,영감,5,2,40.0
BOTTOM,신드라,콩콩이 소환,마법,영감,7,5,71.43
BOTTOM,신지드,기민한 발놀림,정밀,마법,25,15,60.0
BOTTOM,신지드,난입,마법,영감,13,7,53.85
BOTTOM,신지드,정복자,정밀,마법,107,61,57.01
BOTTOM,신지드,정복자,정밀,영감,34,15,44.12
BOTTOM,아우렐리온 솔,신비로운 유성,마법,영감,49,23,46.94
BOTTOM,아우렐리온 솔,신비로운 유성,마법,정밀,185,96,51.89
