position,champion,team,total_games,win_count,win_rate
BOTTOM,가렌,Blue,1,0,0.0
BOTTOM,가렌,Red,1,0,0.0
BOTTOM,갈리오,Red,1,1,100.0
BOTTOM,그레이브즈,Blue,4,1,25.0
BOTTOM,그레이브즈,Red,4,3,75.0
BOTTOM,나피리,Red,1,0,0.0
BOTTOM,니코,Red,2,1,50.0
BOTTOM,닐라,Blue,360,212,58.89
BOTTOM,닐라,Red,389,203,52.19
BOTTOM,다리우스,Red,1,0,0.0
BOTTOM,드레이븐,Blue,762,375,49.21
BOTTOM,드레이븐,Red,731,390,53.35
BOTTOM,라이즈,Blue,2,1,50.0
BOTTOM,라이즈,Red,4,2,50.0
BOTTOM,라칸,Blue,1,0,0.0
BOTTOM,람머스,Red,2,0,0.0
BOTTOM,럭스,Blue,1,1,100.0
BOTTOM,렝가,Blue,3,3,100.0
BOTTOM,렝가,Red,6,5,83.33
BOTTOM,루시안,Blue,3921,1898,48.41
BOTTOM,루시안,Red,3937,1981,50.32
BOTTOM,르블랑,Blue,1,0,0.0
BOTTOM,리산드라,Blue,1,0,0.0
BOTTOM,마스터 이,Blue,1,0,0.0
BOTTOM,말자하,Blue,3,1,33.33
BOTTOM,말자하,Red,1,0,0.0
BOTTOM,멜,Blue,127,60,47.24
BOTTOM,멜,Red,132,67,50.76
BOTTOM,모르가나,Red,1,0,0.0
BOTTOM,미스 포츈,Blue,1983,1002,50.53
BOTTOM,미스 포츈,Red,1939,1047,54.0
BOTTOM,바루스,Blue,1069,505,47.24
BOTTOM,바루스,Red,1072,526,49.07
BOTTOM,베이가,Blue,79,50,63.29
BOTTOM,베이가,Red,55,31,56.36
BOTTOM,베인,Blue,148,69,46.62
BOTTOM,베인,Red,143,62,43.36
BOTTOM,벨코즈,Blue,231,133,57.58
BOTTOM,벨코즈,Red,216,106,49.07
BOTTOM,브랜드,Blue,7,4,57.14
BOTTOM,브랜드,Red,4,4,100.0
BOTTOM,블라디미르,Blue,5,2,40.0
BOTTOM,블라디미르,Red,2,1,50.0
BOTTOM,비에고,Blue,6,3,50.0
BOTTOM,비에고,Red,5,3,60.0
BOTTOM,빅토르,Blue,36,21,58.33
BOTTOM,빅토르,Red,38,25,65.79
BOTTOM,사미라,Blue,285,148,51.93
BOTTOM,사미라,Red,293,141,48.12
BOTTOM,사이온,Red,1,0,0.0
BOTTOM,사일러스,Blue,1,0,0.0
BOTTOM,사일러스,Red,3,1,33.33
BOTTOM,세나,Blue,14,3,21.43
BOTTOM,세나,Red,17,7,41.18
BOTTOM,세라핀,Blue,31,15,48.39
BOTTOM,세라핀,Red,32,15,46.88
BOTTOM,세트,Red,2,1,50.0
BOTTOM,스몰더,Blue,643,323,50.23
BOTTOM,스몰더,Red,626,333,53.19
BOTTOM,스웨인,Blue,382,207,54.19
BOTTOM,스웨인,Red,410,241,58.78
BOTTOM,시비르,Blue,1658,869,52.41
BOTTOM,시비르,Red,1709,917,53.66
BOTTOM,신 짜오,Blue,1,0,0.0
BOTTOM,신 짜오,Red,1,0,0.0
BOTTOM,신드라,Blue,9,6,66.67
BOTTOM,신드라,Red,9,4,44.44
BOTTOM,신지드,Blue,86,47,54.65
BOTTOM,신지드,Red,96,53,55.21
BOTTOM,아우렐리온 솔,Blue,117,64,54.7
BOTTOM,아우렐리온 솔,Red,121,57,47.11
BOTTOM,아지르,Blue,2,1,50.0
BOTTOM,아지르,Red,4,3,75.0
BOTTOM,아크샨,Blue,1,1,100.0
BOTTOM,아크샨,Red,2,1,50.0
BOTTOM,아펠리오스,Blue,6920,3417,49.38
BOTTOM,아펠리오스,Red,6147,3132,50.95
BOTTOM,애니비아,Blue,12,6,50.0
BOTTOM,애니비아,Red,5,3,60.0
BOTTOM,애쉬,Blue,889,430,48.37
BOTTOM,애쉬,Red,837,390,46.59
BOTTOM,야스오,Blue,177,98,55.37
BOTTOM,야스오,Red,166,84,50.6
BOTTOM,오로라,Blue,6,1,16.67
BOTTOM,오로라,Red,3,1,33.33
BOTTOM,오른,Blue,1,0,0.0
BOTTOM,오리아나,Blue,1,0,0.0
BOTTOM,오리아나,Red,1,1,100.0
BOTTOM,요네,Blue,6,2,33.33
BOTTOM,요네,Red,3,1,33.33
