position,champion,spell1,spell2,total_games,win_count,win_rate
BOTTOM,그레이브즈,방어막,점멸,7,4,57.14
BOTTOM,닐라,방어막,점멸,215,114,53.02
BOTTOM,닐라,유체화,점멸,490,275,56.12
BOTTOM,닐라,정화,점멸,37,22,59.46
BOTTOM,드레이븐,방어막,점멸,1156,603,52.16
BOTTOM,드레이븐,정화,점멸,327,157,48.01
BOTTOM,드레이븐,탈진,점멸,5,2,40.0
BOTTOM,렝가,방어막,점화,9,8,88.89
BOTTOM,루시안,방어막,점멸,6640,3307,49.8
BOTTOM,루시안,순간이동,점멸,9,8,88.89
BOTTOM,루시안,점화,점멸,31,15,48.39
BOTTOM,루시안,정화,점멸,1138,530,46.57
BOTTOM,루시안,탈진,점멸,37,17,45.95
BOTTOM,멜,방어막,점멸,7,3,42.86
BOTTOM,멜,순간이동,점멸,232,112,48.28
BOTTOM,멜,유체화,점멸,13,9,69.23
BOTTOM,멜,탈진,점멸,5,2,40.0
BOTTOM,미스 포츈,방어막,점멸,3332,1744,52.34
BOTTOM,미스 포츈,순간이동,점멸,9,4,44.44
BOTTOM,미스 포츈,유체화,점멸,7,4,57.14
BOTTOM,미스 포츈,정화,점멸,558,290,51.97
BOTTOM,미스 포츈,탈진,점멸,12,6,50.0
BOTTOM,바루스,방어막,점멸,1233,596,48.34
BOTTOM,바루스,순간이동,점멸,505,242,47.92
BOTTOM,바루스,유체화,점멸,118,59,50.0
BOTTOM,바루스,정화,점멸,276,132,47.83
BOTTOM,바루스,회복,점멸,7,2,28.57
BOTTOM,베이가,순간이동,점멸,82,52,63.41
BOTTOM,베이가,유체화,점멸,38,21,55.26
BOTTOM,베이가,정화,점멸,7,4,57.14
BOTTOM,베인,방어막,점멸,193,94,48.7
BOTTOM,베인,유체화,점멸,47,22,46.81
BOTTOM,베인,정화,점멸,50,15,30.0
BOTTOM,벨코즈,순간이동,점멸,274,152,55.47
BOTTOM,벨코즈,유체화,점멸,162,82,50.62
BOTTOM,벨코즈,탈진,점멸,6,2,33.33
BOTTOM,브랜드,방어막,점멸,5,3,60.0
BOTTOM,블라디미르,유체화,점멸,7,3,42.86
BOTTOM,비에고,점화,점멸,10,5,50.0
BOTTOM,빅토르,방어막,점멸,6,4,66.67
BOTTOM,빅토르,순간이동,점멸,54,32,59.26
BOTTOM,빅토르,유체화,점멸,9,5,55.56
BOTTOM,사미라,방어막,점멸,396,197,49.75
BOTTOM,사미라,정화,점멸,172,85,49.42
BOTTOM,사미라,탈진,점멸,6,4,66.67
BOTTOM,세나,방어막,점멸,18,6,33.33
BOTTOM,세나,유체화,점멸,7,1,14.29
BOTTOM,세나,정화,점멸,6,3,50.0
BOTTOM,세라핀,방어막,점멸,19,8,42.11
BOTTOM,세라핀,순간이동,점멸,40,19,47.5
BOTTOM,스몰더,방어막,점멸,841,421,50.06
BOTTOM,스몰더,순간이동,점멸,221,128,57.92
BOTTOM,스몰더,유체화,점멸,31,15,48.39
BOTTOM,스몰더,정화,점멸,172,91,52.91
BOTTOM,스웨인,순간이동,점멸,61,40,65.57
BOTTOM,스웨인,유체화,점멸,316,169,53.48
BOTTOM,스웨인,탈진,점멸,412,238,57.77
BOTTOM,시비르,방어막,점멸,2915,1541,52.86
BOTTOM,시비르,순간이동,점멸,29,18,62.07
BOTTOM,시비르,유체화,점멸,255,139,54.51
BOTTOM,시비르,정화,점멸,158,83,52.53
BOTTOM,시비르,탈진,점멸,9,5,55.56
BOTTOM,신드라,순간이동,점멸,10,5,50.0
BOTTOM,신드라,유체화,점멸,5,4,80.0
BOTTOM,신지드,유체화,점멸,182,100,54.95
BOTTOM,아우렐리온 솔,방어막,점멸,30,14,46.67
BOTTOM,아우렐리온 솔,순간이동,점멸,190,99,52.11
BOTTOM,아우렐리온 솔,탈진,점멸,15,7,46.67
BOTTOM,아지르,유체화,점멸,5,4,80.0
BOTTOM,아펠리오스,방어막,점멸,8239,4162,50.52
BOTTOM,아펠리오스,순간이동,점멸,21,7,33.33
BOTTOM,아펠리오스,유체화,점멸,2342,1190,50.81
BOTTOM,아펠리오스,정화,점멸,2441,1175,48.14
BOTTOM,아펠리오스,탈진,점멸,12,8,66.67
BOTTOM,아펠리오스,회복,점멸,11,7,63.64
BOTTOM,애니비아,순간이동,점멸,14,7,50.0
BOTTOM,애쉬,방어막,점멸,1259,617,49.01
BOTTOM,애쉬,유체화,점멸,177,75,42.37
BOTTOM,애쉬,정화,점멸,283,124,43.82
BOTTOM,야스오,방어막,점멸,5,0,0.0
BOTTOM,야스오,점화,점멸,12,7,58.33
BOTTOM,야스오,정화,점멸,18,11,61.11
BOTTOM,야스오,탈진,점멸,305,162,53.11
BOTTOM,오로라,방어막,점멸,7,2,28.57
BOTTOM,요네,탈진,점멸,8,3,37.5
BOTTOM,유나라,방어막,점멸,6389,3174,49.68
BOTTOM,유나라,순간이동,점멸,9,4,44.44
