position,champion,item_name,total_games,win_count,win_rate
BOTTOM,닐라,도란의 검,504,276,54.76
BOTTOM,닐라,도란의 방패,31,10,32.26
BOTTOM,닐라,롱소드,153,84,54.9
BOTTOM,닐라,마법무효화의 망토,23,16,69.57
BOTTOM,닐라,수확의 낫,53,20,37.74
BOTTOM,닐라,장화,17,0,0.0
BOTTOM,드레이븐,도란의 검,1067,539,50.52
BOTTOM,드레이븐,롱소드,320,122,38.12
BOTTOM,드레이븐,마법무효화의 망토,13,10,76.92
BOTTOM,드레이븐,수확의 낫,18,6,33.33
BOTTOM,드레이븐,장화,28,0,0.0
BOTTOM,렝가,도란의 검,7,7,100.0
BOTTOM,루시안,도란의 검,5922,2812,47.48
BOTTOM,루시안,롱소드,1318,534,40.52
BOTTOM,루시안,마법무효화의 망토,80,53,66.25
BOTTOM,루시안,수확의 낫,215,88,40.93
BOTTOM,루시안,장화,118,2,1.69
BOTTOM,멜,도란의 반지,147,68,46.26
BOTTOM,멜,암흑의 인장,54,23,42.59
BOTTOM,멜,증폭의 고서,80,40,50.0
BOTTOM,미스 포츈,도란의 검,2892,1469,50.8
BOTTOM,미스 포츈,롱소드,1008,441,43.75
BOTTOM,미스 포츈,마법무효화의 망토,17,11,64.71
BOTTOM,미스 포츈,수확의 낫,182,78,42.86
BOTTOM,미스 포츈,여신의 눈물,5,4,80.0
BOTTOM,미스 포츈,장화,73,4,5.48
BOTTOM,바루스,도란의 검,1601,754,47.1
BOTTOM,바루스,롱소드,724,316,43.65
BOTTOM,바루스,마법무효화의 망토,11,6,54.55
BOTTOM,바루스,수확의 낫,20,9,45.0
BOTTOM,바루스,여신의 눈물,297,115,38.72
BOTTOM,바루스,장화,22,1,4.55
BOTTOM,바루스,증폭의 고서,73,33,45.21
BOTTOM,베이가,도란의 반지,66,40,60.61
BOTTOM,베이가,암흑의 인장,9,6,66.67
BOTTOM,베이가,여신의 눈물,9,6,66.67
BOTTOM,베이가,증폭의 고서,18,8,44.44
BOTTOM,베인,도란의 검,233,96,41.2
BOTTOM,베인,롱소드,45,16,35.56
BOTTOM,베인,마법무효화의 망토,5,2,40.0
BOTTOM,베인,수확의 낫,13,5,38.46
BOTTOM,벨코즈,도란의 반지,241,134,55.6
BOTTOM,벨코즈,암흑의 인장,95,50,52.63
BOTTOM,벨코즈,증폭의 고서,125,56,44.8
BOTTOM,브랜드,도란의 반지,9,7,77.78
BOTTOM,브랜드,증폭의 고서,5,4,80.0
BOTTOM,비에고,도란의 검,10,5,50.0
BOTTOM,빅토르,도란의 반지,48,31,64.58
BOTTOM,빅토르,암흑의 인장,13,11,84.62
BOTTOM,빅토르,증폭의 고서,17,11,64.71
BOTTOM,사미라,도란의 검,439,212,48.29
BOTTOM,사미라,롱소드,145,59,40.69
BOTTOM,사미라,마법무효화의 망토,8,4,50.0
BOTTOM,사미라,수확의 낫,5,4,80.0
BOTTOM,사미라,장화,15,1,6.67
BOTTOM,세나,도란의 검,27,9,33.33
BOTTOM,세라핀,도란의 반지,49,22,44.9
BOTTOM,세라핀,암흑의 인장,5,3,60.0
BOTTOM,세라핀,여신의 눈물,17,7,41.18
BOTTOM,세라핀,증폭의 고서,7,1,14.29
BOTTOM,스몰더,도란의 검,919,470,51.14
BOTTOM,스몰더,롱소드,145,69,47.59
BOTTOM,스몰더,마법무효화의 망토,9,3,33.33
BOTTOM,스몰더,수확의 낫,74,34,45.95
BOTTOM,스몰더,장화,13,0,0.0
BOTTOM,스몰더,증폭의 고서,5,4,80.0
BOTTOM,스웨인,도란의 반지,544,308,56.62
BOTTOM,스웨인,마법무효화의 망토,18,11,61.11
BOTTOM,스웨인,암흑의 인장,110,53,48.18
BOTTOM,스웨인,여신의 눈물,15,6,40.0
BOTTOM,스웨인,장화,6,0,0.0
BOTTOM,스웨인,증폭의 고서,176,96,54.55
BOTTOM,시비르,도란의 검,2539,1321,52.03
BOTTOM,시비르,롱소드,538,273,50.74
BOTTOM,시비르,마법무효화의 망토,16,11,68.75
BOTTOM,시비르,수확의 낫,367,159,43.32
BOTTOM,시비르,장화,35,1,2.86
BOTTOM,신드라,도란의 반지,14,8,57.14
BOTTOM,신드라,암흑의 인장,6,5,83.33
BOTTOM,신드라,증폭의 고서,8,5,62.5
BOTTOM,신지드,도란의 반지,51,30,58.82
BOTTOM,신지드,암흑의 인장,95,44,46.32
BOTTOM,신지드,증폭의 고서,44,25,56.82
BOTTOM,아우렐리온 솔,도란의 반지,110,53,48.18
BOTTOM,아우렐리온 솔,암흑의 인장,134,70,52.24
BOTTOM,아우렐리온 솔,증폭의 고서,32,13,40.62
BOTTOM,아지르,도란의 반지,6,4,66.67
BOTTOM,아펠리오스,도란의 검,10246,5005,48.85
BOTTOM,아펠리오스,롱소드,2898,1246,43.0
BOTTOM,아펠리오스,마법무효화의 망토,98,66,67.35
BOTTOM,아펠리오스,수확의 낫,931,353,37.92
BOTTOM,아펠리오스,장화,213,3,1.41
BOTTOM,애니비아,도란의 반지,13,7,53.85
BOTTOM,애니비아,증폭의 고서,7,2,28.57
BOTTOM,애쉬,도란의 검,1453,687,47.28
BOTTOM,애쉬,롱소드,295,129,43.73
BOTTOM,애쉬,마법무효화의 망토,7,5,71.43
BOTTOM,애쉬,수확의 낫,60,27,45.0
BOTTOM,애쉬,장화,14,0,0.0
BOTTOM,야스오,도란의 검,172,95,55.23
BOTTOM,야스오,도란의 방패,77,38,49.35
BOTTOM,야스오,롱소드,75,45,60.0
BOTTOM,오로라,도란의 반지,6,1,16.67
BOTTOM,요네,도란의 방패,6,2,33.33
BOTTOM,유나라,도란의 검,6169,2964,48.05
BOTTOM,유나라,롱소드,1105,474,42.9
BOTTOM,유나라,마법무효화의 망토,72,40,55.56
BOTTOM,유나라,수확의 낫,733,307,41.88
BOTTOM,유나라,장화,84,2,2.38
BOTTOM,이즈리얼,도란의 검,6529,3029,46.39
BOTTOM,이즈리얼,롱소드,2998,1243,41.46
BOTTOM,이즈리얼,마법무효화의 망토,68,43,63.24
BOTTOM,이즈리얼,사파이어 수정,23,17,73.91
BOTTOM,이즈리얼,수확의 낫,92,31,33.7
BOTTOM,이즈리얼,여신의 눈물,1785,625,35.01
BOTTOM,이즈리얼,장화,89,2,2.25
BOTTOM,이즈리얼,증폭의 고서,195,98,50.26
BOTTOM,자야,도란의 검,833,437,52.46
BOTTOM,자야,롱소드,190,101,53.16
BOTTOM,자야,마법무효화의 망토,10,6,60.0
BOTTOM,자야,수확의 낫,66,35,53.03
BOTTOM,자이라,도란의 반지,12,6,50.0
BOTTOM,제라스,도란의 반지,81,36,44.44
BOTTOM,제라스,암흑의 인장,34,11,32.35
BOTTOM,제라스,증폭의 고서,35,14,40.0
BOTTOM,제리,도란의 검,1071,463,43.23
BOTTOM,제리,롱소드,276,99,35.87
BOTTOM,제리,마법무효화의 망토,7,7,100.0
BOTTOM,제리,수확의 낫,113,32,28.32
BOTTOM,제리,장화,11,0,0.0
BOTTOM,직스,도란의 반지,416,226,54.33
BOTTOM,직스,암흑의 인장,133,78,58.65
BOTTOM,직스,여신의 눈물,56,23,41.07
BOTTOM,직스,장화,6,0,0.0
BOTTOM,직스,증폭의 고서,182,93,51.1
BOTTOM,진,도란의 검,3920,1839,46.91
BOTTOM,진,롱소드,876,334,38.13
BOTTOM,진,마법무효화의 망토,24,13,54.17
BOTTOM,진,수확의 낫,101,39,38.61
BOTTOM,진,장화,52,1,1.92
BOTTOM,징크스,도란의 검,3731,1971,52.83
BOTTOM,징크스,롱소드,823,417,50.67
BOTTOM,징크스,마법무효화의 망토,37,20,54.05
BOTTOM,징크스,수확의 낫,404,178,44.06
BOTTOM,징크스,장화,45,1,2.22
BOTTOM,초가스,도란의 반지,19,12,63.16
BOTTOM,초가스,암흑의 인장,17,10,58.82
BOTTOM,초가스,증폭의 고서,7,4,57.14
BOTTOM,카서스,도란의 반지,67,40,59.7
BOTTOM,카서스,암흑의 인장,7,3,42.86
BOTTOM,카서스,증폭의 고서,32,16,50.0
BOTTOM,카시오페아,도란의 반지,410,234,57.07
BOTTOM,카시오페아,사파이어 수정,6,1,16.67
BOTTOM,카시오페아,암흑의 인장,205,110,53.66
BOTTOM,카시오페아,여신의 눈물,37,19,51.35
BOTTOM,카시오페아,증폭의 고서,146,81,55.48
BOTTOM,카이사,도란의 검,6414,3055,47.63
BOTTOM,카이사,롱소드,376,171,45.48
BOTTOM,카이사,마법무효화의 망토,27,15,55.56
BOTTOM,카이사,수확의 낫,1534,689,44.92
BOTTOM,카이사,암흑의 인장,15,10,66.67
BOTTOM,카이사,장화,116,4,3.45
BOTTOM,카이사,증폭의 고서,1242,573,46.14
BOTTOM,칼리스타,도란의 검,337,190,56.38
BOTTOM,칼리스타,롱소드,31,18,58.06
BOTTOM,칼리스타,마법무효화의 망토,13,9,69.23
BOTTOM,칼리스타,증폭의 고서,23,13,56.52
BOTTOM,케이틀린,도란의 검,3954,1954,49.42
BOTTOM,케이틀린,롱소드,894,404,45.19
BOTTOM,케이틀린,마법무효화의 망토,30,15,50.0
BOTTOM,케이틀린,수확의 낫,247,105,42.51
BOTTOM,케이틀린,장화,37,2,5.41
BOTTOM,코그모,도란의 검,196,109,55.61
BOTTOM,코그모,도란의 반지,15,7,46.67
