position,champion,avg_kills,avg_deaths,avg_assists,avg_kda,avg_damage,avg_tanking,avg_vision,avg_gold,avg_cs,avg_time,avg_solokills,DPM,GPM,VSPM,DTM
TOP,나르,4.39,4.9,4.9,2.89,21524.5074,25586.2167,26.547,10715.4749,197.973,1550.85,1.95,832.75,414.57,1.03,989.89
JUNGLE,뽀삐,5.64,4.74,9.05,4.41,16245.4136,25109.1797,34.1932,10891.7763,160.9017,1580.32,0.83,616.79,413.53,1.3,953.32
MIDDLE,벡스,6.03,5.13,6.82,3.62,22110.0242,17567.8494,25.5472,10941.1004,195.1411,1575.17,1.37,842.2,416.76,0.97,669.18
BOTTOM,징크스,6.68,5.12,6.8,3.95,22355.7923,17797.251,23.2748,13266.2715,220.7506,1543.35,0.41,869.12,515.75,0.9,691.9
UTILITY,브라움,0.98,5.13,14.18,4.28,7448.69,22543.0228,78.9021,7551.7131,25.4711,1551.95,0.08,287.97,291.96,3.05,871.54
TOP,야스오,4.74,6.33,4.38,2.03,20359.2101,24008.9682,23.9117,10996.624,211.6823,1560.58,2.09,782.75,422.79,0.92,923.08
JUNGLE,암베사,6.47,4.9,6.99,4.05,18844.213,25405.5818,29.9331,12079.7572,187.323,1561.06,0.79,724.28,464.29,1.15,976.47
MIDDLE,신드라,5.13,4.94,5.93,3.23,21750.097,16846.7348,25.1507,11292.6861,208.8543,1566.24,1.2,833.21,432.6,0.96,645.37
BOTTOM,아펠리오스,6.8,5.86,5.28,3.06,23115.5386,19421.7925,22.0119,13420.3626,213.1312,1553.65,0.57,892.69,518.28,0.85,750.04
UTILITY,바드,2.01,5.09,14.0,4.62,10580.277,20409.7358,92.9518,8025.0617,26.1833,1565.78,0.19,405.43,307.52,3.56,782.09
TOP,스웨인,4.32,4.77,7.38,3.82,21816.7075,29776.332,24.2253,10282.7905,186.5415,1567.26,1.61,835.22,393.66,0.93,1139.94
JUNGLE,리 신,7.02,4.62,8.35,5.28,16899.2181,28590.9783,35.0215,11561.3311,171.4005,1555.14,0.85,652.0,446.06,1.35,1103.09
MIDDLE,갈리오,3.53,4.26,9.03,4.58,16649.4452,23755.3203,23.481,9726.6507,183.5355,1541.67,0.58,647.98,378.55,0.91,924.53
BOTTOM,루시안,7.06,5.38,6.3,3.56,24261.0056,20129.1372,23.8834,13186.8451,214.094,1563.2,0.49,931.2,506.15,0.92,772.61
UTILITY,유미,1.08,3.83,13.99,6.17,7097.5069,8350.694,56.4662,7426.1998,16.1522,1541.59,0.11,276.24,289.03,2.2,325.02
TOP,피오라,5.06,5.57,3.46,2.38,21115.8752,30760.5359,25.1637,11722.0095,207.9271,1550.88,2.41,816.92,453.5,0.97,1190.05
JUNGLE,탈론,8.3,5.17,6.47,4.26,20623.5814,26463.6542,31.3996,13486.0279,197.1371,1582.08,1.66,782.14,511.45,1.19,1003.63
MIDDLE,아리,5.48,4.44,7.13,4.3,21208.9889,20161.1048,26.2097,10975.4984,203.1435,1575.25,1.1,807.84,418.05,1.0,767.92
BOTTOM,유나라,6.51,5.54,6.46,3.42,23465.5752,20154.0722,23.3838,13496.333,219.4425,1547.82,0.54,909.62,523.17,0.91,781.26
UTILITY,룰루,1.27,4.69,12.88,4.51,7199.0955,15037.5386,78.0879,7595.8062,26.8882,1544.02,0.15,279.75,295.17,3.03,584.35
TOP,갈리오,2.89,4.53,9.02,3.63,16654.2894,26020.3736,25.5714,9716.5165,184.2161,1588.02,0.8,629.25,367.12,0.97,983.13
