position,champion,game_time,total_games,win_count,win_rate
TOP,나르,0-20분,465,239.0,51.4
JUNGLE,뽀삐,0-20분,69,36.0,52.17
MIDDLE,벡스,0-20분,225,113.0,50.22
BOTTOM,징크스,0-20분,977,530.0,54.25
UTILITY,브라움,0-20분,1516,708.0,46.7
TOP,야스오,0-20분,239,109.0,45.61
JUNGLE,암베사,0-20분,549,224.0,40.8
MIDDLE,신드라,0-20분,567,269.0,47.44
BOTTOM,아펠리오스,0-20분,2672,1304.0,48.8
UTILITY,바드,0-20분,807,402.0,49.81
TOP,스웨인,0-20분,48,24.0,50.0
JUNGLE,리 신,0-20분,2108,1129.0,53.56
MIDDLE,갈리오,0-20분,921,420.0,45.6
BOTTOM,루시안,0-20분,1589,757.0,47.64
UTILITY,유미,0-20분,405,182.0,44.94
TOP,피오라,0-20분,561,307.0,54.72
JUNGLE,탈론,0-20분,394,195.0,49.49
MIDDLE,아리,0-20분,444,222.0,50.0
BOTTOM,유나라,0-20분,1723,866.0,50.26
UTILITY,룰루,0-20분,1112,524.0,47.12
TOP,갈리오,35-40분,20,11.0,55.0
JUNGLE,비에고,35-40분,310,156.0,50.32
MIDDLE,사일러스,35-40분,234,133.0,56.84
BOTTOM,아펠리오스,35-40분,820,432.0,52.68
UTILITY,룰루,35-40분,310,142.0,45.81
TOP,잭스,35-40분,286,155.0,54.2
JUNGLE,신 짜오,35-40분,146,84.0,57.53
MIDDLE,아리,35-40분,162,77.0,47.53
BOTTOM,카이사,35-40분,558,272.0,48.75
UTILITY,엘리스,35-40분,168,85.0,50.6
TOP,럼블,0-20분,932,469.0,50.32
MIDDLE,아칼리,0-20분,1178,620.0,52.63
TOP,크산테,0-20분,895,436.0,48.72
JUNGLE,바이,0-20분,625,272.0,43.52
MIDDLE,르블랑,0-20분,509,291.0,57.17
BOTTOM,카이사,0-20분,1734,825.0,47.58
UTILITY,사일러스,0-20분,103,58.0,56.31
TOP,암베사,20-25분,1176,564.0,47.96
JUNGLE,리 신,20-25분,2211,1168.0,52.83
MIDDLE,라이즈,20-25분,996,525.0,52.71
BOTTOM,제라스,20-25분,20,6.0,30.0
UTILITY,알리스타,20-25분,1105,592.0,53.57
TOP,이렐리아,20-25분,548,288.0,52.55
JUNGLE,제이스,20-25분,1648,853.0,51.76
MIDDLE,아리,20-25분,474,236.0,49.79
BOTTOM,카이사,20-25분,2043,1016.0,49.73
UTILITY,라칸,20-25분,988,487.0,49.29
TOP,판테온,0-20분,170,80.0,47.06
JUNGLE,비에고,0-20분,804,387.0,48.13
MIDDLE,탈리야,0-20분,493,212.0,43.0
BOTTOM,스몰더,0-20분,251,133.0,52.99
UTILITY,알리스타,0-20분,1034,526.0,50.87
TOP,암베사,25-30분,1505,718.0,47.71
JUNGLE,누누와 윌럼프,25-30분,499,266.0,53.31
MIDDLE,나서스,25-30분,17,8.0,47.06
BOTTOM,스몰더,25-30분,388,196.0,50.52
UTILITY,알리스타,25-30분,1375,667.0,48.51
TOP,그웬,25-30분,494,272.0,55.06
JUNGLE,말파이트,25-30분,1077,486.0,45.13
MIDDLE,키아나,25-30분,526,279.0,53.04
BOTTOM,시비르,25-30분,1006,554.0,55.07
UTILITY,뽀삐,25-30분,656,340.0,51.83
TOP,크산테,30-35분,891,418.0,46.91
JUNGLE,제이스,30-35분,1541,777.0,50.42
MIDDLE,애니비아,30-35분,250,127.0,50.8
BOTTOM,이즈리얼,30-35분,1645,743.0,45.17
UTILITY,라칸,30-35분,813,426.0,52.4
TOP,암베사,30-35분,1014,523.0,51.58
JUNGLE,리 신,30-35분,1810,863.0,47.68
MIDDLE,르블랑,30-35분,499,248.0,49.7
BOTTOM,루시안,30-35분,1589,832.0,52.36
UTILITY,엘리스,30-35분,413,191.0,46.25
TOP,룰루,35-40분,10,6.0,60.0
JUNGLE,사일러스,35-40분,171,85.0,49.71
MIDDLE,키아나,35-40분,133,75.0,56.39
BOTTOM,제리,35-40분,100,61.0,61.0
UTILITY,쓰레쉬,35-40분,450,233.0,51.78
TOP,아트록스,35-40분,145,78.0,53.79
JUNGLE,에코,35-40분,295,159.0,53.9
MIDDLE,카타리나,35-40분,215,104.0,48.37
UTILITY,브라움,35-40분,486,283.0,58.23
TOP,럼블,25-30분,1381,763.0,55.25
JUNGLE,마스터 이,25-30분,184,81.0,44.02
MIDDLE,사일러스,25-30분,1250,563.0,45.04
BOTTOM,케이틀린,25-30분,1492,738.0,49.46
UTILITY,바드,25-30분,1091,551.0,50.5
TOP,판테온,25-30분,228,102.0,44.74
JUNGLE,탈론,25-30분,565,294.0,52.04
MIDDLE,조이,25-30분,874,459.0,52.52
BOTTOM,벨코즈,25-30분,120,63.0,52.5
UTILITY,카르마,25-30분,1334,644.0,48.28
TOP,라이즈,0-20분,244,116.0,47.54
MIDDLE,리산드라,0-20분,199,105.0,52.76
TOP,아트록스,0-20분,524,246.0,46.95
JUNGLE,헤카림,0-20분,505,259.0,51.29
UTILITY,노틸러스,0-20분,1644,821.0,49.94
TOP,바루스,30-35분,187,84.0,44.92
JUNGLE,말파이트,30-35분,668,311.0,46.56
MIDDLE,빅토르,30-35분,607,278.0,45.8
BOTTOM,카이사,30-35분,1664,793.0,47.66
UTILITY,마오카이,30-35분,223,117.0,52.47
TOP,잭스,30-35분,871,428.0,49.14
MIDDLE,라이즈,30-35분,799,361.0,45.18
BOTTOM,트리스타나,30-35분,441,231.0,52.38
UTILITY,브라움,30-35분,1378,760.0,55.15
JUNGLE,에코,0-20분,1030,546.0,53.01
MIDDLE,야스오,0-20분,463,227.0,49.03
UTILITY,나미,0-20분,297,127.0,42.76
TOP,요네,0-20분,309,137.0,44.34
JUNGLE,니달리,0-20분,720,395.0,54.86
MIDDLE,키아나,0-20분,390,234.0,60.0
TOP,잭스,0-20분,1007,522.0,51.84
UTILITY,판테온,0-20분,241,124.0,51.45
TOP,갱플랭크,0-20분,513,264.0,51.46
JUNGLE,카직스,0-20분,435,215.0,49.43
MIDDLE,다이애나,0-20분,228,108.0,47.37
BOTTOM,이즈리얼,0-20분,1773,826.0,46.59
UTILITY,니코,0-20분,654,346.0,52.91
TOP,루시안,0-20분,10,1.0,10.0
JUNGLE,그웬,0-20분,406,168.0,41.38
MIDDLE,요네,0-20분,491,232.0,47.25
TOP,티모,0-20분,138,69.0,50.0
JUNGLE,누누와 윌럼프,0-20분,332,182.0,54.82
MIDDLE,트리스타나,0-20분,88,40.0,45.45
BOTTOM,코르키,0-20분,237,118.0,49.79
MIDDLE,아리,30-35분,463,224.0,48.38
BOTTOM,세라핀,30-35분,16,7.0,43.75
UTILITY,잭스,30-35분,6,5.0,83.33
TOP,탐 켄치,30-35분,48,24.0,50.0
JUNGLE,카직스,30-35분,466,230.0,49.36
MIDDLE,누누와 윌럼프,30-35분,68,29.0,42.65
BOTTOM,아펠리오스,30-35분,2380,1267.0,53.24
UTILITY,알리스타,30-35분,874,465.0,53.2
TOP,럼블,20-25분,948,470.0,49.58
JUNGLE,누누와 윌럼프,20-25분,372,210.0,56.45
MIDDLE,아크샨,20-25분,257,131.0,50.97
BOTTOM,이즈리얼,20-25분,1773,889.0,50.14
UTILITY,카르마,20-25분,941,456.0,48.46
TOP,라이즈,20-25분,259,134.0,51.74
JUNGLE,나피리,20-25분,94,41.0,43.62
MIDDLE,니코,20-25분,115,70.0,60.87
BOTTOM,루시안,20-25분,1771,847.0,47.83
UTILITY,엘리스,20-25분,455,243.0,53.41
TOP,사일러스,25-30분,181,99.0,54.7
JUNGLE,판테온,25-30분,129,67.0,51.94
MIDDLE,아칼리,25-30분,1794,849.0,47.32
BOTTOM,진,25-30분,1532,710.0,46.34
TOP,오른,25-30분,246,123.0,50.0
JUNGLE,자이라,25-30분,326,166.0,50.92
MIDDLE,이즈리얼,25-30분,16,8.0,50.0
TOP,말파이트,20-25분,326,173.0,53.07
MIDDLE,이렐리아,20-25분,349,184.0,52.72
TOP,판테온,20-25분,195,99.0,50.77
JUNGLE,에코,20-25분,1060,552.0,52.08
MIDDLE,레넥톤,20-25분,43,22.0,51.16
BOTTOM,케이틀린,20-25분,1066,549.0,51.5
UTILITY,바드,20-25분,783,418.0,53.38
TOP,녹턴,25-30분,67,35.0,52.24
JUNGLE,키아나,25-30분,992,507.0,51.11
MIDDLE,탈리야,25-30분,671,333.0,49.63
BOTTOM,징크스,25-30분,1479,787.0,53.21
UTILITY,쓰레쉬,25-30분,1949,979.0,50.23
TOP,레넥톤,25-30분,1158,582.0,50.26
JUNGLE,사일러스,25-30분,833,421.0,50.54
MIDDLE,제드,25-30분,841,448.0,53.27
BOTTOM,유나라,25-30분,2455,1185.0,48.27
UTILITY,룰루,25-30분,1611,742.0,46.06
JUNGLE,녹턴,25-30분,178,94.0,52.81
MIDDLE,오로라,25-30분,559,259.0,46.33
BOTTOM,이즈리얼,25-30분,2535,1224.0,48.28
UTILITY,마오카이,25-30분,353,186.0,52.69
TOP,리븐,25-30분,369,201.0,54.47
JUNGLE,리 신,25-30분,2969,1513.0,50.96
MIDDLE,오리아나,25-30분,1785,905.0,50.7
BOTTOM,아펠리오스,25-30분,3984,1996.0,50.1
UTILITY,니코,25-30분,924,484.0,52.38
MIDDLE,오리아나,20-25분,1273,645.0,50.67
TOP,요릭,20-25분,172,89.0,51.74
JUNGLE,제드,20-25분,430,196.0,45.58
BOTTOM,아펠리오스,20-25분,3016,1450.0,48.08
UTILITY,브라움,20-25분,1735,885.0,51.01
TOP,신지드,25-30분,411,249.0,60.58
JUNGLE,비에고,25-30분,1193,586.0,49.12
MIDDLE,갈리오,25-30분,1214,592.0,48.76
BOTTOM,트리스타나,25-30분,728,384.0,52.75
UTILITY,라칸,25-30분,1344,704.0,52.38
TOP,잭스,25-30분,1387,713.0,51.41
JUNGLE,오공,25-30분,290,141.0,48.62
MIDDLE,요네,25-30분,638,279.0,43.73
UTILITY,사일러스,25-30분,145,73.0,50.34
TOP,이렐리아,0-20분,505,274.0,54.26
UTILITY,뽀삐,0-20분,427,223.0,52.22
TOP,요릭,0-20분,141,83.0,58.87
BOTTOM,미스 포츈,0-20분,820,430.0,52.44
JUNGLE,릴리아,30-35분,267,139.0,52.06
MIDDLE,야스오,30-35분,387,182.0,47.03
BOTTOM,바루스,30-35분,420,193.0,45.95
TOP,베인,30-35분,170,89.0,52.35
BOTTOM,닐라,30-35분,135,78.0,57.78
TOP,피오라,25-30분,861,441.0,51.22
JUNGLE,킨드레드,25-30분,278,165.0,59.35
TOP,카밀,25-30분,482,238.0,49.38
JUNGLE,에코,25-30분,1422,707.0,49.72
UTILITY,렐,25-30분,1091,553.0,50.69
TOP,피즈,25-30분,7,1.0,14.29
MIDDLE,르블랑,25-30분,728,321.0,44.09
TOP,자헨,25-30분,854,445.0,52.11
JUNGLE,암베사,25-30분,807,373.0,46.22
UTILITY,소라카,25-30분,283,132.0,46.64
TOP,카밀,20-25분,367,184.0,50.14
JUNGLE,렉사이,20-25분,592,318.0,53.72
MIDDLE,사일러스,20-25분,965,468.0,48.5
BOTTOM,닐라,20-25분,188,102.0,54.26
UTILITY,타릭,20-25분,254,136.0,53.54
TOP,피오라,20-25분,689,346.0,50.22
JUNGLE,암베사,20-25분,586,248.0,42.32
MIDDLE,아칼리,20-25분,1227,562.0,45.8
UTILITY,렝가,20-25분,29,12.0,41.38
TOP,스웨인,30-35분,48,24.0,50.0
MIDDLE,비에고,30-35분,44,26.0,59.09
UTILITY,카르마,30-35분,922,438.0,47.51
TOP,럼블,30-35분,958,532.0,55.53
