position,champion,item_name,total_games,win_count,win_rate
TOP,나르,투명 와드,933,420.0,45.02
JUNGLE,뽀삐,예언자의 렌즈,282,145.0,51.42
MIDDLE,벡스,투명 와드,173,70.0,40.46
BOTTOM,징크스,투명 와드,403,104.0,25.81
UTILITY,브라움,예언자의 렌즈,7403,3844.0,51.92
TOP,야스오,예언자의 렌즈,324,175.0,54.01
JUNGLE,암베사,예언자의 렌즈,2515,1143.0,45.45
MIDDLE,신드라,망원형 개조,1777,883.0,49.69
BOTTOM,아펠리오스,망원형 개조,11795,6244.0,52.94
UTILITY,바드,예언자의 렌즈,3755,1918.0,51.08
TOP,스웨인,망원형 개조,139,85.0,61.15
JUNGLE,리 신,투명 와드,9841,5003.0,50.84
MIDDLE,갈리오,투명 와드,957,363.0,37.93
BOTTOM,루시안,망원형 개조,7057,3659.0,51.85
UTILITY,유미,예언자의 렌즈,1861,816.0,43.85
TOP,피오라,예언자의 렌즈,845,496.0,58.7
JUNGLE,탈론,예언자의 렌즈,1690,850.0,50.3
MIDDLE,아리,예언자의 렌즈,1526,820.0,53.74
BOTTOM,유나라,망원형 개조,7380,3808.0,51.6
UTILITY,룰루,예언자의 렌즈,5240,2445.0,46.66
TOP,갈리오,예언자의 렌즈,136,82.0,60.29
JUNGLE,비에고,예언자의 렌즈,3826,1839.0,48.07
MIDDLE,사일러스,망원형 개조,470,226.0,48.09
TOP,잭스,투명 와드,4508,2308.0,51.2
JUNGLE,신 짜오,예언자의 렌즈,2114,1029.0,48.68
BOTTOM,카이사,망원형 개조,8049,4090.0,50.81
UTILITY,엘리스,예언자의 렌즈,2215,1147.0,51.78
TOP,럼블,투명 와드,1566,718.0,45.85
MIDDLE,아칼리,예언자의 렌즈,4557,2285.0,50.14
TOP,크산테,투명 와드,1810,769.0,42.49
JUNGLE,바이,예언자의 렌즈,2995,1428.0,47.68
MIDDLE,르블랑,예언자의 렌즈,2042,1034.0,50.64
UTILITY,사일러스,예언자의 렌즈,465,232.0,49.89
TOP,암베사,투명 와드,2077,894.0,43.04
MIDDLE,라이즈,예언자의 렌즈,848,452.0,53.3
BOTTOM,제라스,망원형 개조,110,57.0,51.82
UTILITY,알리스타,예언자의 렌즈,4720,2429.0,51.46
TOP,이렐리아,투명 와드,775,335.0,43.23
JUNGLE,제이스,예언자의 렌즈,7141,3478.0,48.7
UTILITY,라칸,예언자의 렌즈,4379,2223.0,50.77
TOP,판테온,투명 와드,331,138.0,41.69
MIDDLE,갈리오,예언자의 렌즈,2623,1392.0,53.07
TOP,럼블,예언자의 렌즈,1574,906.0,57.56
MIDDLE,탈리야,망원형 개조,1555,822.0,52.86
BOTTOM,스몰더,망원형 개조,1137,611.0,53.74
JUNGLE,누누와 윌럼프,투명 와드,398,217.0,54.52
MIDDLE,나서스,투명 와드,31,14.0,45.16
TOP,그웬,예언자의 렌즈,736,430.0,58.42
JUNGLE,말파이트,망원형 개조,27,13.0,48.15
MIDDLE,키아나,예언자의 렌즈,1675,942.0,56.24
BOTTOM,시비르,망원형 개조,3086,1717.0,55.64
UTILITY,뽀삐,예언자의 렌즈,2178,1148.0,52.71
TOP,크산테,예언자의 렌즈,2349,1187.0,50.53
MIDDLE,애니비아,망원형 개조,717,395.0,55.09
BOTTOM,이즈리얼,망원형 개조,7769,3880.0,49.94
TOP,암베사,망원형 개조,709,350.0,49.37
TOP,룰루,예언자의 렌즈,83,48.0,57.83
JUNGLE,사일러스,예언자의 렌즈,2750,1351.0,49.13
BOTTOM,제리,망원형 개조,1378,682.0,49.49
UTILITY,쓰레쉬,예언자의 렌즈,6412,3284.0,51.22
TOP,아트록스,망원형 개조,248,111.0,44.76
JUNGLE,에코,예언자의 렌즈,4550,2320.0,50.99
MIDDLE,카타리나,예언자의 렌즈,2048,1128.0,55.08
JUNGLE,마스터 이,예언자의 렌즈,452,206.0,45.58
BOTTOM,케이틀린,망원형 개조,4714,2473.0,52.46
MIDDLE,조이,망원형 개조,1262,670.0,53.09
BOTTOM,벨코즈,망원형 개조,369,205.0,55.56
UTILITY,카르마,예언자의 렌즈,4503,2158.0,47.92
TOP,라이즈,투명 와드,421,173.0,41.09
MIDDLE,리산드라,예언자의 렌즈,508,280.0,55.12
BOTTOM,아펠리오스,투명 와드,1238,288.0,23.26
TOP,아트록스,투명 와드,953,389.0,40.82
JUNGLE,헤카림,망원형 개조,54,22.0,40.74
BOTTOM,징크스,망원형 개조,4391,2419.0,55.09
UTILITY,노틸러스,예언자의 렌즈,7847,3898.0,49.68
TOP,바루스,망원형 개조,558,304.0,54.48
JUNGLE,말파이트,예언자의 렌즈,3273,1454.0,44.42
MIDDLE,빅토르,투명 와드,766,293.0,38.25
UTILITY,마오카이,예언자의 렌즈,1154,611.0,52.95
MIDDLE,라이즈,망원형 개조,2703,1386.0,51.28
BOTTOM,트리스타나,망원형 개조,2162,1192.0,55.13
MIDDLE,야스오,투명 와드,650,251.0,38.62
BOTTOM,루시안,투명 와드,771,208.0,26.98
UTILITY,나미,예언자의 렌즈,1478,726.0,49.12
TOP,요네,투명 와드,593,223.0,37.61
JUNGLE,니달리,예언자의 렌즈,3009,1545.0,51.35
UTILITY,판테온,예언자의 렌즈,1073,523.0,48.74
TOP,갱플랭크,투명 와드,559,228.0,40.79
JUNGLE,카직스,예언자의 렌즈,2026,1014.0,50.05
MIDDLE,다이애나,예언자의 렌즈,720,386.0,53.61
UTILITY,니코,예언자의 렌즈,3161,1635.0,51.72
TOP,루시안,투명 와드,14,2.0,14.29
JUNGLE,그웬,예언자의 렌즈,1724,903.0,52.38
MIDDLE,요네,투명 와드,632,234.0,37.03
BOTTOM,이즈리얼,투명 와드,743,150.0,20.19
TOP,티모,투명 와드,224,98.0,43.75
JUNGLE,누누와 윌럼프,예언자의 렌즈,1175,616.0,52.43
MIDDLE,트리스타나,예언자의 렌즈,42,26.0,61.9
BOTTOM,코르키,망원형 개조,1008,514.0,50.99
TOP,암베사,예언자의 렌즈,2438,1312.0,53.81
MIDDLE,아리,망원형 개조,420,198.0,47.14
BOTTOM,세라핀,망원형 개조,53,28.0,52.83
UTILITY,잭스,예언자의 렌즈,28,17.0,60.71
TOP,탐 켄치,예언자의 렌즈,114,58.0,50.88
MIDDLE,누누와 윌럼프,예언자의 렌즈,273,139.0,50.92
TOP,럼블,망원형 개조,1534,853.0,55.61
MIDDLE,아크샨,망원형 개조,959,525.0,54.74
TOP,라이즈,망원형 개조,670,355.0,52.99
JUNGLE,나피리,예언자의 렌즈,379,173.0,45.65
MIDDLE,니코,예언자의 렌즈,336,189.0,56.25
TOP,사일러스,망원형 개조,110,57.0,51.82
JUNGLE,판테온,예언자의 렌즈,341,174.0,51.03
MIDDLE,아칼리,투명 와드,841,311.0,36.98
BOTTOM,진,망원형 개조,4698,2328.0,49.55
TOP,오른,예언자의 렌즈,287,165.0,57.49
JUNGLE,자이라,예언자의 렌즈,951,513.0,53.94
MIDDLE,이즈리얼,망원형 개조,44,21.0,47.73
TOP,말파이트,투명 와드,653,315.0,48.24
MIDDLE,이렐리아,투명 와드,340,161.0,47.35
MIDDLE,레넥톤,예언자의 렌즈,142,76.0,53.52
TOP,녹턴,망원형 개조,185,95.0,51.35
JUNGLE,키아나,예언자의 렌즈,3382,1724.0,50.98
TOP,레넥톤,망원형 개조,329,159.0,48.33
MIDDLE,제드,예언자의 렌즈,1978,1078.0,54.5
TOP,그웬,망원형 개조,284,162.0,57.04
JUNGLE,녹턴,망원형 개조,369,192.0,52.03
MIDDLE,오로라,망원형 개조,589,294.0,49.92
TOP,리븐,예언자의 렌즈,660,389.0,58.94
MIDDLE,오리아나,망원형 개조,4300,2310.0,53.72
TOP,판테온,예언자의 렌즈,413,215.0,52.06
MIDDLE,오리아나,투명 와드,1321,535.0,40.5
TOP,요릭,망원형 개조,293,144.0,49.15
JUNGLE,제드,예언자의 렌즈,2017,970.0,48.09
TOP,신지드,투명 와드,672,353.0,52.53
JUNGLE,오공,예언자의 렌즈,815,388.0,47.61
MIDDLE,요네,망원형 개조,734,369.0,50.27
TOP,요릭,투명 와드,310,150.0,48.39
JUNGLE,그웬,투명 와드,142,67.0,47.18
MIDDLE,야스오,망원형 개조,645,356.0,55.19
BOTTOM,미스 포츈,망원형 개조,3450,1900.0,55.07
JUNGLE,릴리아,예언자의 렌즈,1213,640.0,52.76
BOTTOM,바루스,망원형 개조,1952,998.0,51.13
TOP,베인,망원형 개조,541,291.0,53.79
BOTTOM,닐라,망원형 개조,684,393.0,57.46
TOP,피오라,투명 와드,1419,660.0,46.51
JUNGLE,킨드레드,예언자의 렌즈,776,406.0,52.32
TOP,카밀,예언자의 렌즈,608,333.0,54.77
