Total Plates Taken,Avg Game Time (min)
60,10.28
70,10.87
80,11.13
90,11.53
100,13.2
110,14.28
120,14.69
130,14.88
140,15.33
150,15.42
160,15.41
170,15.47
180,15.52
190,15.55
200,15.59
210,15.7
220,15.7
230,15.95
240,16.01
250,16.24
260,16.55
270,16.78
280,17.3
290,17.73
300,18.22
310,18.78
320,19.12
330,19.8
340,20.01
350,20.44
360,20.64
370,21.15
380,21.31
390,21.88
400,22.3
410,22.98
420,23.1
430,23.32
440,24.05
450,24.23
460,24.74
470,24.95
480,25.48
490,25.7
500,25.87
510,26.36
520,26.67
530,27.09
540,27.48
550,27.69
560,28.09
570,28.49
580,28.76
590,29.27
600,29.63
610,29.87
620,30.58
630,30.71
640,31.31
650,31.47
660,32.1
670,32.28
680,32.67
690,33.22
700,33.58
710,33.94
720,34.13
730,35.1
740,35.24
750,35.42
760,35.93
770,36.34
780,36.43
790,37.12
800,37.27
810,37.48
820,38.82
830,40.06
840,39.31
850,41.07
860,42.04
870,40.57
880,39.9
890,41.36
900,39.71
