match_id,duration_min
KR_8032658524,18.6
KR_8032647121,17.6
KR_8029799073,35.6
KR_8029728918,15.2
KR_8029678975,21.4
KR_8029635065,19.1
KR_8029568718,26.0
KR_8029518230,31.9
KR_8029455418,36.5
KR_8029400723,26.2
KR_8029371660,16.1
KR_8029324382,32.0
KR_8029287969,15.3
KR_8029255719,20.0
KR_8029223883,15.2
KR_8029178784,31.9
KR_8029151293,23.9
KR_8029098501,26.6
KR_8029075164,24.0
KR_8029038544,28.4
KR_8029006928,27.4
KR_8028987770,22.0
KR_8028970078,26.5
KR_8028945686,15.2
KR_8028924860,32.6
KR_8028911256,29.6
KR_8028894652,29.5
KR_8028889422,22.5
KR_8028870616,32.6
KR_8027549663,24.7
KR_8027517079,18.4
KR_8027466897,21.4
KR_8027430135,28.2
KR_8027373595,29.4
KR_8027358094,15.5
KR_8027332234,18.6
KR_8027285216,30.9
KR_8027257438,25.2
KR_8027223570,27.4
KR_8027197834,31.2
KR_8027183906,15.3
KR_8027179051,19.0
KR_8027163022,24.2
KR_8027142158,26.7
KR_8027136091,15.7
KR_8026361401,15.7
KR_8026313150,15.2
KR_8026258031,15.3
KR_8026164775,29.2
KR_8026102894,18.4
KR_8026042185,26.2
KR_8032557454,26.8
KR_8031180630,28.0
KR_8031115535,25.4
KR_8031054463,36.5
KR_8030903559,28.3
KR_8030831576,31.6
KR_8030483420,15.4
KR_8030422729,15.6
KR_8030362830,15.5
KR_8030308285,15.4
KR_8030212391,31.4
KR_8029902859,25.1
KR_8029527629,15.2
KR_8029471342,27.0
KR_8029410400,36.6
KR_8029339062,23.7
KR_8029286582,20.3
KR_8029243039,33.9
KR_8029188912,22.4
KR_8028793443,15.2
KR_8028766078,27.6
KR_8028695329,38.3
KR_8028527797,27.9
KR_8028490066,20.1
KR_8028407376,20.7
KR_8028191740,15.2
KR_8028112360,28.6
KR_8027941147,25.4
KR_8027848622,34.4
KR_8027791380,29.7
KR_8027684398,25.0
KR_8027626272,33.9
KR_8027581727,15.8
KR_8027526848,28.5
KR_8027476647,24.2
KR_8026786916,15.7
KR_8026755572,16.8
KR_8026490343,33.0
KR_8026372200,34.5
KR_8026315452,15.2
KR_8026184962,37.4
KR_8026116520,28.9
KR_8026056658,23.6
KR_8026019443,16.2
KR_8025969468,15.2
KR_8025854294,23.6
KR_8025798387,31.8
KR_8025727879,31.5
KR_8025699652,15.2
KR_8025638233,28.3
KR_8025601181,16.0
KR_8025030225,25.0
KR_8024958155,36.0
KR_8024569773,26.2
KR_8024451811,32.2
KR_8024384513,15.4
KR_8024297661,21.7
KR_8024247531,15.5
KR_8023805119,31.4
KR_8023749685,25.7
KR_8023693926,29.8
KR_8023333222,25.3
KR_8023308635,22.4
KR_8023290248,26.9
KR_8023267032,19.0
KR_8023230741,16.2
KR_8023178880,34.2
KR_8023131631,28.5
KR_8022395724,29.6
KR_8022283718,24.9
KR_8022190057,30.0
KR_8022126590,18.2
KR_8021984442,24.2
KR_8021922081,20.6
KR_8021832299,28.3
KR_8021761868,19.9
KR_8021706990,15.4
KR_8021616521,25.3
KR_8020969899,16.2
KR_8020687621,23.6
KR_8020590203,27.8
KR_8020476501,31.4
KR_8020076474,26.9
KR_8019996489,24.1
KR_8019926433,19.5
KR_8019826791,32.4
KR_8019742963,28.6
KR_8019666727,27.4
KR_8019295267,21.8
KR_8019238954,16.3
KR_8019184945,21.3
KR_8019124087,30.5
KR_8018542039,32.4
KR_8018493372,20.2
KR_8018455936,15.4
KR_8018420937,15.2
KR_8018334902,30.4
KR_8018277963,19.0
KR_8018212756,18.6
KR_8018066633,24.1
KR_8017942386,31.1
KR_8017822510,30.4
KR_8017701347,35.8
KR_8017603963,29.5
KR_8017498914,40.2
KR_8017231631,32.8
KR_8017166909,28.8
KR_8017098684,33.2
KR_8017036399,27.0
KR_8016979277,35.7
KR_8016914064,32.6
KR_8016883306,15.2
KR_8016462461,24.5
KR_8016429013,27.7
KR_8016363191,29.2
KR_8016303362,27.4
KR_8016223857,30.4
KR_8016161257,24.6
KR_8016058018,29.8
KR_8015963671,26.4
KR_8015770627,42.0
KR_8015406784,31.8
