position,champion,item_name,pick_count,win_count,win_rate
BOTTOM,가렌,광전사의 군화,1,0,0.0
BOTTOM,가렌,신속의 장화,1,0,0.0
BOTTOM,갈리오,마법사의 신발,1,1,100.0
BOTTOM,그레이브즈,장화,1,0,0.0
BOTTOM,그레이브즈,판금 장화,3,2,66.66666666666666
BOTTOM,그레이브즈,헤르메스의 발걸음,3,2,66.66666666666666
BOTTOM,나피리,판금 장화,1,0,0.0
BOTTOM,니코,마법사의 신발,2,1,50.0
BOTTOM,닐라,광전사의 군화,87,50,57.47126436781609
BOTTOM,닐라,신속의 장화,27,16,59.25925925925925
BOTTOM,닐라,장화,367,189,51.49863760217984
BOTTOM,닐라,판금 장화,177,103,58.19209039548022
BOTTOM,닐라,헤르메스의 발걸음,63,40,63.49206349206349
BOTTOM,다리우스,판금 장화,1,0,0.0
BOTTOM,드레이븐,광전사의 군화,509,285,55.992141453831046
BOTTOM,드레이븐,신속의 장화,92,54,58.69565217391305
BOTTOM,드레이븐,장화,424,173,40.80188679245283
BOTTOM,드레이븐,판금 장화,338,184,54.437869822485204
BOTTOM,드레이븐,헤르메스의 발걸음,83,45,54.21686746987952
BOTTOM,라이즈,마법사의 신발,1,1,100.0
BOTTOM,라이즈,명석함의 아이오니아 장화,1,0,0.0
BOTTOM,라이즈,신속의 장화,1,1,100.0
BOTTOM,라이즈,장화,1,0,0.0
BOTTOM,라이즈,헤르메스의 발걸음,2,1,50.0
BOTTOM,라칸,명석함의 아이오니아 장화,1,0,0.0
BOTTOM,람머스,판금 장화,2,0,0.0
BOTTOM,럭스,마법사의 신발,1,1,100.0
BOTTOM,렝가,신속의 장화,1,1,100.0
BOTTOM,렝가,장화,3,3,100.0
BOTTOM,렝가,판금 장화,3,2,66.66666666666666
BOTTOM,렝가,헤르메스의 발걸음,2,2,100.0
BOTTOM,루시안,광전사의 군화,417,223,53.47721822541966
BOTTOM,루시안,명석함의 아이오니아 장화,2879,1490,51.754081278221605
BOTTOM,루시안,신속의 장화,57,31,54.385964912280706
BOTTOM,루시안,장화,1447,551,38.07878369039392
BOTTOM,루시안,판금 장화,2173,1188,54.67096180395766
BOTTOM,루시안,헤르메스의 발걸음,415,221,53.25301204819277
BOTTOM,르블랑,마법사의 신발,1,0,0.0
BOTTOM,리산드라,명석함의 아이오니아 장화,1,0,0.0
BOTTOM,마스터 이,광전사의 군화,1,0,0.0
BOTTOM,말자하,마법사의 신발,2,0,0.0
BOTTOM,말자하,명석함의 아이오니아 장화,2,1,50.0
BOTTOM,멜,마법사의 신발,111,53,47.74774774774775
BOTTOM,멜,명석함의 아이오니아 장화,119,59,49.57983193277311
BOTTOM,멜,신속의 장화,18,12,66.66666666666666
BOTTOM,멜,장화,10,3,30.0
BOTTOM,멜,헤르메스의 발걸음,1,0,0.0
BOTTOM,모르가나,마법사의 신발,1,0,0.0
BOTTOM,미스 포츈,광전사의 군화,207,120,57.971014492753625
BOTTOM,미스 포츈,명석함의 아이오니아 장화,14,7,50.0
BOTTOM,미스 포츈,신속의 장화,2015,1095,54.3424317617866
BOTTOM,미스 포츈,장화,948,376,39.66244725738397
BOTTOM,미스 포츈,판금 장화,540,349,64.62962962962962
BOTTOM,미스 포츈,헤르메스의 발걸음,51,37,72.54901960784314
BOTTOM,바루스,광전사의 군화,316,160,50.63291139240506
BOTTOM,바루스,마법사의 신발,3,0,0.0
BOTTOM,바루스,명석함의 아이오니아 장화,311,147,47.266881028938904
BOTTOM,바루스,신속의 장화,1025,535,52.19512195121951
BOTTOM,바루스,장화,178,42,23.595505617977526
BOTTOM,바루스,판금 장화,228,116,50.877192982456144
BOTTOM,바루스,헤르메스의 발걸음,45,21,46.666666666666664
BOTTOM,베이가,마법사의 신발,104,66,63.46153846153846
BOTTOM,베이가,명석함의 아이오니아 장화,17,7,41.17647058823529
BOTTOM,베이가,신속의 장화,4,2,50.0
BOTTOM,베이가,장화,3,1,33.33333333333333
BOTTOM,베이가,판금 장화,3,3,100.0
BOTTOM,베인,광전사의 군화,252,117,46.42857142857143
BOTTOM,베인,신속의 장화,16,11,68.75
BOTTOM,베인,장화,12,1,8.333333333333332
BOTTOM,베인,판금 장화,9,2,22.22222222222222
BOTTOM,베인,헤르메스의 발걸음,1,0,0.0
BOTTOM,벨코즈,마법사의 신발,12,3,25.0
BOTTOM,벨코즈,명석함의 아이오니아 장화,10,7,70.0
BOTTOM,벨코즈,신속의 장화,410,223,54.390243902439025
BOTTOM,벨코즈,장화,14,6,42.857142857142854
BOTTOM,벨코즈,헤르메스의 발걸음,1,0,0.0
BOTTOM,브랜드,마법사의 신발,10,8,80.0
BOTTOM,브랜드,장화,1,0,0.0
BOTTOM,블라디미르,마법사의 신발,5,3,60.0
BOTTOM,블라디미르,신속의 장화,1,0,0.0
BOTTOM,블라디미르,헤르메스의 발걸음,1,0,0.0
BOTTOM,비에고,광전사의 군화,2,0,0.0
BOTTOM,비에고,신속의 장화,1,1,100.0
BOTTOM,비에고,장화,4,2,50.0
BOTTOM,비에고,판금 장화,2,1,50.0
BOTTOM,비에고,헤르메스의 발걸음,2,2,100.0
BOTTOM,빅토르,마법사의 신발,38,22,57.89473684210527
BOTTOM,빅토르,명석함의 아이오니아 장화,28,18,64.28571428571429
