position,champion,strategy,pick_count,win_count,avg_swap_time,win_rate
BOTTOM,가렌,투명 와드 ➡ 예언자의 렌즈,1,0,540267.0,0.0
BOTTOM,갈리오,망원형 개조 (유지),1,1,0.0,100.0
BOTTOM,그레이브즈,망원형 개조 (유지),1,0,0.0,0.0
BOTTOM,그레이브즈,투명 와드 (유지),2,2,0.0,100.0
BOTTOM,그레이브즈,투명 와드 ➡ 망원형 개조,5,2,1092411.8,40.0
BOTTOM,나피리,투명 와드 ➡ 예언자의 렌즈,1,0,780255.0,0.0
BOTTOM,니코,예언자의 렌즈 ➡ 투명 와드,1,0,1020358.0,0.0
BOTTOM,니코,투명 와드 ➡ 예언자의 렌즈,1,1,600287.0,100.0
BOTTOM,닐라,망원형 개조 (유지),427,238,0.0,55.73770491803278
BOTTOM,닐라,망원형 개조 ➡ 예언자의 렌즈,1,0,900274.0,0.0
BOTTOM,닐라,예언자의 렌즈 (유지),2,0,0.0,0.0
BOTTOM,닐라,예언자의 렌즈 ➡ 망원형 개조,12,6,650256.6666666666,50.0
BOTTOM,닐라,투명 와드 (유지),31,13,0.0,41.935483870967744
BOTTOM,닐라,투명 와드 ➡ 망원형 개조,241,145,911926.9004149378,60.16597510373444
BOTTOM,닐라,투명 와드 ➡ 예언자의 렌즈,7,7,891727.2857142857,100.0
BOTTOM,다리우스,투명 와드 ➡ 망원형 개조,1,0,960382.0,0.0
BOTTOM,드레이븐,망원형 개조 (유지),655,353,0.0,53.89312977099237
BOTTOM,드레이븐,망원형 개조 ➡ 예언자의 렌즈,9,5,946986.0,55.55555555555556
BOTTOM,드레이븐,예언자의 렌즈 (유지),4,4,0.0,100.0
BOTTOM,드레이븐,예언자의 렌즈 ➡ 망원형 개조,36,23,761228.25,63.888888888888886
BOTTOM,드레이븐,예언자의 렌즈 ➡ 투명 와드,4,0,135059.75,0.0
BOTTOM,드레이븐,투명 와드 (유지),61,14,0.0,22.950819672131146
BOTTOM,드레이븐,투명 와드 ➡ 망원형 개조,602,319,930925.0332225914,52.99003322259136
BOTTOM,드레이븐,투명 와드 ➡ 예언자의 렌즈,39,21,791181.0256410256,53.84615384615385
BOTTOM,라이즈,망원형 개조 (유지),4,2,0.0,50.0
BOTTOM,라이즈,예언자의 렌즈 (유지),2,1,0.0,50.0
BOTTOM,라칸,예언자의 렌즈 ➡ 투명 와드,1,0,60026.0,0.0
BOTTOM,람머스,망원형 개조 (유지),1,0,0.0,0.0
BOTTOM,람머스,투명 와드 ➡ 망원형 개조,1,0,1380518.0,0.0
BOTTOM,럭스,투명 와드 ➡ 망원형 개조,1,1,780340.0,100.0
BOTTOM,렝가,예언자의 렌즈 (유지),2,2,0.0,100.0
BOTTOM,루시안,망원형 개조 (유지),3530,1818,0.0,51.5014164305949
BOTTOM,루시안,망원형 개조 ➡ 예언자의 렌즈,39,15,998836.4102564103,38.46153846153847
BOTTOM,루시안,망원형 개조 ➡ 투명 와드,1,1,840427.0,100.0
BOTTOM,루시안,예언자의 렌즈 (유지),16,8,0.0,50.0
BOTTOM,루시안,예언자의 렌즈 ➡ 망원형 개조,103,55,585062.8543689321,53.398058252427184
BOTTOM,루시안,예언자의 렌즈 ➡ 투명 와드,7,2,197198.2857142857,28.57142857142857
BOTTOM,루시안,투명 와드 (유지),342,100,0.0,29.239766081871345
BOTTOM,루시안,투명 와드 ➡ 망원형 개조,3359,1754,941634.6100029771,52.217922000595415
BOTTOM,루시안,투명 와드 ➡ 예언자의 렌즈,46,23,830504.8478260869,50.0
BOTTOM,르블랑,투명 와드 ➡ 예언자의 렌즈,1,0,780312.0,0.0
BOTTOM,마스터 이,예언자의 렌즈 (유지),1,0,0.0,0.0
BOTTOM,말자하,투명 와드 (유지),1,0,0.0,0.0
BOTTOM,말자하,투명 와드 ➡ 망원형 개조,2,0,1170432.5,0.0
BOTTOM,말자하,투명 와드 ➡ 예언자의 렌즈,1,1,60023.0,100.0
BOTTOM,멜,망원형 개조 (유지),132,67,0.0,50.75757575757576
BOTTOM,멜,예언자의 렌즈 (유지),7,3,0.0,42.857142857142854
BOTTOM,멜,예언자의 렌즈 ➡ 망원형 개조,11,7,567484.1818181818,63.63636363636363
BOTTOM,멜,예언자의 렌즈 ➡ 투명 와드,2,1,180033.0,50.0
BOTTOM,멜,투명 와드 (유지),7,1,0.0,14.285714285714285
BOTTOM,멜,투명 와드 ➡ 망원형 개조,88,45,864186.4318181818,51.13636363636363
BOTTOM,멜,투명 와드 ➡ 예언자의 렌즈,1,0,900378.0,0.0
BOTTOM,모르가나,투명 와드 ➡ 예언자의 렌즈,1,0,720266.0,0.0
BOTTOM,미스 포츈,망원형 개조 (유지),1681,903,0.0,53.7180249851279
BOTTOM,미스 포츈,망원형 개조 ➡ 예언자의 렌즈,15,9,928340.8,60.0
BOTTOM,미스 포츈,예언자의 렌즈 (유지),10,6,0.0,60.0
BOTTOM,미스 포츈,예언자의 렌즈 ➡ 망원형 개조,58,32,597112.3103448276,55.172413793103445
BOTTOM,미스 포츈,예언자의 렌즈 ➡ 투명 와드,6,2,140047.66666666666,33.33333333333333
BOTTOM,미스 포츈,투명 와드 (유지),197,67,0.0,34.01015228426396
BOTTOM,미스 포츈,투명 와드 ➡ 망원형 개조,1681,944,938430.4848304581,56.157049375371805
BOTTOM,미스 포츈,투명 와드 ➡ 예언자의 렌즈,48,31,771976.2708333334,64.58333333333334
BOTTOM,바루스,망원형 개조 (유지),879,449,0.0,51.080773606370876
BOTTOM,바루스,망원형 개조 ➡ 예언자의 렌즈,9,4,1007031.0,44.44444444444444
BOTTOM,바루스,예언자의 렌즈 (유지),4,2,0.0,50.0
BOTTOM,바루스,예언자의 렌즈 ➡ 망원형 개조,30,17,548193.3333333334,56.666666666666664
BOTTOM,바루스,예언자의 렌즈 ➡ 투명 와드,1,0,60027.0,0.0
BOTTOM,바루스,투명 와드 (유지),86,17,0.0,19.767441860465116
BOTTOM,바루스,투명 와드 ➡ 망원형 개조,1019,523,903772.3513248282,51.32482826300294
BOTTOM,바루스,투명 와드 ➡ 예언자의 렌즈,20,6,775129.7,30.0
BOTTOM,베이가,망원형 개조 (유지),38,24,0.0,63.1578947368421
BOTTOM,베이가,망원형 개조 ➡ 예언자의 렌즈,1,1,1200429.0,100.0
BOTTOM,베이가,예언자의 렌즈 (유지),1,0,0.0,0.0
BOTTOM,베이가,예언자의 렌즈 ➡ 투명 와드,1,0,780329.0,0.0
BOTTOM,베이가,투명 와드 (유지),9,5,0.0,55.55555555555556
BOTTOM,베이가,투명 와드 ➡ 망원형 개조,82,50,931802.4634146341,60.97560975609756
BOTTOM,베인,망원형 개조 (유지),124,65,0.0,52.41935483870967
BOTTOM,베인,망원형 개조 ➡ 예언자의 렌즈,2,2,1080424.0,100.0
BOTTOM,베인,예언자의 렌즈 (유지),1,0,0.0,0.0
BOTTOM,베인,예언자의 렌즈 ➡ 망원형 개조,3,0,940335.3333333334,0.0
BOTTOM,베인,투명 와드 (유지),13,1,0.0,7.6923076923076925
BOTTOM,베인,투명 와드 ➡ 망원형 개조,125,57,952665.696,45.6
BOTTOM,베인,투명 와드 ➡ 예언자의 렌즈,3,1,700241.6666666666,33.33333333333333
BOTTOM,벨코즈,망원형 개조 (유지),146,85,0.0,58.21917808219178
BOTTOM,벨코즈,예언자의 렌즈 (유지),2,0,0.0,0.0
BOTTOM,벨코즈,예언자의 렌즈 ➡ 망원형 개조,6,4,580202.8333333334,66.66666666666666
BOTTOM,벨코즈,예언자의 렌즈 ➡ 투명 와드,1,0,60023.0,0.0
BOTTOM,벨코즈,투명 와드 (유지),40,18,0.0,45.0
BOTTOM,벨코즈,투명 와드 ➡ 망원형 개조,213,114,898127.5962441314,53.52112676056338
BOTTOM,벨코즈,투명 와드 ➡ 예언자의 렌즈,8,4,855315.0,50.0
BOTTOM,브랜드,망원형 개조 (유지),4,3,0.0,75.0
BOTTOM,브랜드,투명 와드 ➡ 망원형 개조,6,4,956196.1666666666,66.66666666666666
BOTTOM,블라디미르,망원형 개조 (유지),7,3,0.0,42.857142857142854
BOTTOM,비에고,망원형 개조 (유지),1,0,0.0,0.0
BOTTOM,비에고,예언자의 렌즈 (유지),9,6,0.0,66.66666666666666
BOTTOM,비에고,투명 와드 ➡ 예언자의 렌즈,1,0,960385.0,0.0
BOTTOM,빅토르,망원형 개조 (유지),55,34,0.0,61.81818181818181
BOTTOM,빅토르,망원형 개조 ➡ 예언자의 렌즈,3,1,940305.3333333334,33.33333333333333
BOTTOM,빅토르,투명 와드 (유지),1,0,0.0,0.0
BOTTOM,빅토르,투명 와드 ➡ 망원형 개조,14,10,867293.2142857143,71.42857142857143
BOTTOM,사미라,망원형 개조 (유지),274,163,0.0,59.48905109489051
BOTTOM,사미라,망원형 개조 ➡ 예언자의 렌즈,6,3,1150372.1666666667,50.0
BOTTOM,사미라,망원형 개조 ➡ 투명 와드,6,0,1606328.6666666667,0.0
BOTTOM,사미라,예언자의 렌즈 (유지),8,3,0.0,37.5
BOTTOM,사미라,예언자의 렌즈 ➡ 망원형 개조,6,2,620225.8333333334,33.33333333333333
BOTTOM,사미라,투명 와드 (유지),42,7,0.0,16.666666666666664
BOTTOM,사미라,투명 와드 ➡ 망원형 개조,191,94,963519.7643979058,49.21465968586388
BOTTOM,사미라,투명 와드 ➡ 예언자의 렌즈,11,5,942685.7272727273,45.45454545454545
BOTTOM,사이온,투명 와드 (유지),1,0,0.0,0.0
BOTTOM,사일러스,투명 와드 ➡ 망원형 개조,1,0,840321.0,0.0
BOTTOM,사일러스,투명 와드 ➡ 예언자의 렌즈,2,1,1170422.0,50.0
BOTTOM,세나,망원형 개조 (유지),11,2,0.0,18.181818181818183
BOTTOM,세나,투명 와드 (유지),6,1,0.0,16.666666666666664
BOTTOM,세나,투명 와드 ➡ 망원형 개조,13,7,946497.0769230769,53.84615384615385
BOTTOM,세라핀,망원형 개조 (유지),33,18,0.0,54.54545454545454
BOTTOM,세라핀,망원형 개조 ➡ 예언자의 렌즈,1,1,1260463.0,100.0
BOTTOM,세라핀,예언자의 렌즈 ➡ 망원형 개조,3,2,880313.6666666666,66.66666666666666
BOTTOM,세라핀,투명 와드 (유지),5,2,0.0,40.0
BOTTOM,세라핀,투명 와드 ➡ 망원형 개조,16,7,911587.75,43.75
BOTTOM,세트,투명 와드 (유지),1,1,0.0,100.0
BOTTOM,스몰더,망원형 개조 (유지),636,339,0.0,53.301886792452834
BOTTOM,스몰더,망원형 개조 ➡ 예언자의 렌즈,5,4,1032364.6,80.0
BOTTOM,스몰더,예언자의 렌즈 (유지),2,2,0.0,100.0
BOTTOM,스몰더,예언자의 렌즈 ➡ 망원형 개조,11,4,709335.4545454546,36.36363636363637
BOTTOM,스몰더,예언자의 렌즈 ➡ 투명 와드,2,0,60025.0,0.0
BOTTOM,스몰더,투명 와드 (유지),51,15,0.0,29.411764705882355
BOTTOM,스몰더,투명 와드 ➡ 망원형 개조,482,264,932868.468879668,54.77178423236515
BOTTOM,스몰더,투명 와드 ➡ 예언자의 렌즈,5,1,780265.6,20.0
BOTTOM,스웨인,망원형 개조 (유지),310,188,0.0,60.64516129032258
BOTTOM,스웨인,망원형 개조 ➡ 예언자의 렌즈,4,2,1260460.25,50.0
BOTTOM,스웨인,예언자의 렌즈 (유지),8,5,0.0,62.5
BOTTOM,스웨인,예언자의 렌즈 ➡ 망원형 개조,10,3,474160.4,30.0
BOTTOM,스웨인,예언자의 렌즈 ➡ 투명 와드,4,3,405120.5,75.0
BOTTOM,스웨인,투명 와드 (유지),71,35,0.0,49.29577464788733
BOTTOM,스웨인,투명 와드 ➡ 망원형 개조,331,187,935591.0513595166,56.49546827794561
BOTTOM,스웨인,투명 와드 ➡ 예언자의 렌즈,12,7,905318.0,58.333333333333336
BOTTOM,시비르,망원형 개조 (유지),1567,861,0.0,54.94575622208041
BOTTOM,시비르,망원형 개조 ➡ 예언자의 렌즈,8,4,952864.875,50.0
BOTTOM,시비르,예언자의 렌즈 (유지),3,2,0.0,66.66666666666666
BOTTOM,시비르,예언자의 렌즈 ➡ 망원형 개조,49,34,555675.4489795918,69.38775510204081
BOTTOM,시비르,투명 와드 (유지),135,33,0.0,24.444444444444443
BOTTOM,시비르,투명 와드 ➡ 망원형 개조,1448,813,928708.3107734807,56.146408839779006
BOTTOM,시비르,투명 와드 ➡ 예언자의 렌즈,17,5,861478.6470588235,29.411764705882355
BOTTOM,신 짜오,예언자의 렌즈 (유지),2,0,0.0,0.0
BOTTOM,신드라,망원형 개조 (유지),7,2,0.0,28.57142857142857
BOTTOM,신드라,투명 와드 (유지),2,2,0.0,100.0
BOTTOM,신드라,투명 와드 ➡ 망원형 개조,7,5,874582.2857142857,71.42857142857143
BOTTOM,신지드,망원형 개조 (유지),66,39,0.0,59.09090909090909
BOTTOM,신지드,망원형 개조 ➡ 예언자의 렌즈,2,2,1020363.0,100.0
BOTTOM,신지드,예언자의 렌즈 (유지),1,0,0.0,0.0
