champion,itemId,item_name,core_rank,avg_min,win_rate,count
가렌,6631,발걸음 분쇄기,1,13.7,48.8,791
가렌,3078,삼위일체,1,14.3,44.44,9
가렌,3071,칠흑의 양날 도끼,1,12.5,50.0,6
가렌,3068,태양불꽃 방패,1,17.3,0.0,3
가렌,6695,독사의 송곳니,1,10.3,66.67,3
가렌,2525,원형질 안전벨트,1,13.5,0.0,2
가렌,3065,정령의 형상,1,11.0,0.0,2
가렌,3742,망자의 갑옷,1,13.0,0.0,2
가렌,3046,유령 무희,1,16.0,100.0,1
가렌,3143,란두인의 예언,1,15.0,0.0,1
가렌,6664,공허한 광휘,1,11.0,0.0,1
가렌,3046,유령 무희,2,6.2,52.23,314
가렌,3097,폭풍갈퀴,2,7.2,59.46,111
가렌,3161,쇼진의 창,2,7.5,50.0,46
가렌,3071,칠흑의 양날 도끼,2,6.6,47.5,40
가렌,3742,망자의 갑옷,2,7.6,28.57,35
가렌,6695,독사의 송곳니,2,6.8,33.33,27
가렌,3033,필멸자의 운명,2,6.7,45.83,24
가렌,3053,스테락의 도전,2,7.2,61.11,18
가렌,6631,발걸음 분쇄기,2,5.8,50.0,8
가렌,3078,삼위일체,2,6.2,60.0,5
가렌,4401,대자연의 힘,2,7.2,40.0,5
가렌,3075,가시 갑옷,2,5.0,33.33,3
가렌,2502,끝없는 절망,2,11.5,0.0,2
가렌,2512,악마사냥꾼의 화살,2,7.0,0.0,2
가렌,3181,선체파괴자,2,5.5,100.0,2
가렌,2504,케이닉 루컨,2,12.0,0.0,1
가렌,3036,도미닉 경의 인사,2,7.0,100.0,1
가렌,3091,마법사의 최후,2,6.0,100.0,1
가렌,3143,란두인의 예언,2,13.0,0.0,1
가렌,3146,마법공학 총검,2,5.0,0.0,1
가렌,3190,강철의 솔라리 펜던트,2,11.0,100.0,1
가렌,6333,죽음의 무도,2,9.0,0.0,1
가렌,3742,망자의 갑옷,3,6.0,61.64,73
가렌,3161,쇼진의 창,3,5.9,47.22,72
가렌,3031,무한의 대검,3,6.8,50.88,57
가렌,3033,필멸자의 운명,3,5.0,63.16,57
가렌,3053,스테락의 도전,3,5.9,36.84,38
가렌,3046,유령 무희,3,4.6,73.53,34
가렌,3071,칠흑의 양날 도끼,3,5.9,47.62,21
가렌,4401,대자연의 힘,3,6.0,53.33,15
가렌,6695,독사의 송곳니,3,4.9,42.86,14
가렌,3097,폭풍갈퀴,3,5.3,50.0,12
가렌,3036,도미닉 경의 인사,3,6.5,50.0,4
가렌,3143,란두인의 예언,3,5.0,50.0,4
가렌,2525,원형질 안전벨트,3,3.0,50.0,2
가렌,3002,개척자,3,6.0,50.0,2
가렌,3078,삼위일체,3,5.5,0.0,2
가렌,6333,죽음의 무도,3,8.0,50.0,2
가렌,3026,수호 천사,3,7.0,0.0,1
가렌,3156,맬모셔스의 아귀,3,4.0,0.0,1
가렌,3181,선체파괴자,3,7.0,100.0,1
갈리오,6664,공허한 광휘,1,12.9,47.91,2321
갈리오,3152,마법공학 로켓 벨트,1,12.5,50.49,1416
갈리오,6657,영겁의 지팡이,1,12.0,50.0,230
갈리오,3068,태양불꽃 방패,1,13.7,50.56,180
갈리오,4646,폭풍 쇄도,1,12.6,54.42,147
갈리오,2524,밴들파이프,1,12.4,51.09,92
갈리오,3190,강철의 솔라리 펜던트,1,14.4,45.31,64
갈리오,2065,슈렐리아의 군가,1,11.0,61.54,52
갈리오,6653,리안드리의 고통,1,13.0,37.5,32
갈리오,4633,균열 생성기,1,14.4,54.84,31
갈리오,3116,라일라이의 수정홀,1,13.3,36.84,19
갈리오,2525,원형질 안전벨트,1,14.2,75.0,16
갈리오,3110,얼어붙은 심장,1,14.1,76.92,13
갈리오,4645,그림자불꽃,1,11.6,72.73,11
갈리오,3075,가시 갑옷,1,14.8,0.0,8
갈리오,3002,개척자,1,14.0,60.0,5
갈리오,3050,지크의 융합,1,12.0,60.0,5
갈리오,3107,구원,1,13.0,20.0,5
갈리오,2504,케이닉 루컨,1,14.3,75.0,4
갈리오,3157,존야의 모래시계,1,16.3,33.33,3
