position,champion,time_min,killed,placed
BOTTOM,가렌,5.0,2.0,2.0
BOTTOM,가렌,10.0,1.0,2.0
BOTTOM,가렌,15.0,1.5,2.0
BOTTOM,갈리오,0.0,0.0,1.0
BOTTOM,갈리오,5.0,0.0,2.0
BOTTOM,갈리오,10.0,0.0,2.0
BOTTOM,갈리오,15.0,0.0,2.0
BOTTOM,갈리오,20.0,1.0,0.0
BOTTOM,갈리오,25.0,0.0,1.0
BOTTOM,갈리오,30.0,2.0,1.0
BOTTOM,그레이브즈,0.0,1.0,1.2857142857142858
BOTTOM,그레이브즈,5.0,1.0,1.875
BOTTOM,그레이브즈,10.0,2.5,1.625
BOTTOM,그레이브즈,15.0,1.4,2.857142857142857
BOTTOM,그레이브즈,20.0,1.4,2.5
BOTTOM,그레이브즈,25.0,2.0,1.6666666666666667
BOTTOM,그레이브즈,30.0,1.0,4.0
BOTTOM,그레이브즈,35.0,2.0,3.0
BOTTOM,나피리,0.0,1.0,2.0
BOTTOM,나피리,5.0,1.0,2.0
BOTTOM,나피리,10.0,1.0,1.0
BOTTOM,나피리,15.0,2.0,1.0
BOTTOM,나피리,20.0,2.0,0.0
BOTTOM,나피리,25.0,2.0,0.0
BOTTOM,나피리,30.0,1.0,1.0
BOTTOM,나피리,35.0,1.0,0.0
BOTTOM,니코,0.0,0.0,1.0
BOTTOM,니코,5.0,1.0,2.0
BOTTOM,니코,10.0,1.5,1.0
BOTTOM,니코,15.0,1.5,1.0
BOTTOM,니코,20.0,1.0,2.0
BOTTOM,니코,25.0,1.0,1.0
BOTTOM,니코,30.0,1.0,1.0
BOTTOM,닐라,0.0,1.0943396226415094,1.5662650602409638
BOTTOM,닐라,5.0,1.33206106870229,1.9694444444444446
BOTTOM,닐라,10.0,1.5824468085106382,2.1418539325842696
BOTTOM,닐라,15.0,1.4628571428571429,1.690846286701209
BOTTOM,닐라,20.0,1.5770392749244713,1.6133056133056134
BOTTOM,닐라,25.0,1.527363184079602,1.6538461538461537
BOTTOM,닐라,30.0,1.5,1.5245901639344261
BOTTOM,닐라,35.0,1.2222222222222223,1.4
BOTTOM,다리우스,0.0,0.0,1.0
BOTTOM,다리우스,5.0,1.0,3.0
BOTTOM,다리우스,10.0,0.0,2.0
BOTTOM,다리우스,15.0,0.0,2.0
BOTTOM,다리우스,20.0,2.0,3.0
BOTTOM,다리우스,25.0,0.0,2.0
BOTTOM,드레이븐,0.0,1.1848958333333333,1.4596711041503523
BOTTOM,드레이븐,5.0,1.3153310104529616,1.9623846699787082
BOTTOM,드레이븐,10.0,1.6153846153846154,2.2085137085137085
BOTTOM,드레이븐,15.0,1.742086752637749,1.9043183742591026
BOTTOM,드레이븐,20.0,1.8743654822335025,1.796086508753862
BOTTOM,드레이븐,25.0,1.855421686746988,1.698360655737705
BOTTOM,드레이븐,30.0,1.7326732673267327,1.4742268041237114
BOTTOM,드레이븐,35.0,1.6428571428571428,1.4819277108433735
BOTTOM,라이즈,0.0,0.0,1.0
BOTTOM,라이즈,5.0,1.0,1.8
BOTTOM,라이즈,10.0,1.0,2.1666666666666665
BOTTOM,라이즈,15.0,1.6666666666666667,2.2
BOTTOM,라이즈,20.0,1.25,1.75
BOTTOM,라이즈,25.0,2.6666666666666665,1.3333333333333333
BOTTOM,라이즈,30.0,0.0,2.0
BOTTOM,라이즈,35.0,0.0,3.0
BOTTOM,라칸,5.0,2.0,1.0
BOTTOM,라칸,10.0,0.0,6.0
BOTTOM,라칸,15.0,2.0,3.0
BOTTOM,라칸,20.0,4.0,9.0
BOTTOM,라칸,25.0,0.0,1.0
BOTTOM,람머스,0.0,0.0,1.0
BOTTOM,람머스,5.0,0.0,2.5
BOTTOM,람머스,10.0,1.5,1.5
BOTTOM,람머스,15.0,1.0,2.5
BOTTOM,람머스,20.0,0.0,2.0
BOTTOM,람머스,25.0,0.0,1.0
