champion,item_name,pick_count,win_rate
닐라,징수의 총,740,55.54
닐라,무한의 대검,600,58.5
닐라,도란의 검,504,54.76
닐라,필멸자의 운명,215,60.93
닐라,도미닉 경의 인사,213,66.67
닐라,유령 무희,165,63.03
닐라,민첩성의 망토,164,43.9
닐라,롱소드,153,54.9
닐라,불멸의 철갑궁,136,66.18
닐라,죽음의 무도,87,65.52
닐라,곡괭이,80,36.25
닐라,B.F. 대검,73,49.32
닐라,단검,65,60.0
닐라,제어 와드,62,53.23
닐라,절정의 화살,61,52.46
닐라,강철 인장,61,59.02
닐라,헤르메스의 시미터,57,61.4
닐라,최후의 속삭임,53,45.28
닐라,수확의 낫,53,37.74
닐라,열정의 검,46,60.87
닐라,수은 장식띠,42,66.67
닐라,나보리 명멸검,41,68.29
닐라,천 갑옷,40,55.0
닐라,충전형 물약,34,67.65
닐라,도란의 방패,31,32.26
닐라,처형인의 대검,28,32.14
닐라,콜필드의 전투 망치,25,56.0
닐라,피바라기,23,52.17
닐라,마법무효화의 망토,23,69.57
닐라,맬모셔스의 아귀,23,56.52
닐라,악마사냥꾼의 화살,22,50.0
닐라,수호 천사,19,73.68
닐라,장화,17,0.0
닐라,흡혈의 낫,14,57.14
닐라,주문포식자,13,61.54
닐라,윤 탈 야생화살,12,58.33
드레이븐,피바라기,1112,53.15
드레이븐,도란의 검,1067,50.52
드레이븐,징수의 총,851,55.23
드레이븐,무한의 대검,805,57.39
드레이븐,도미닉 경의 인사,482,53.53
드레이븐,정수 약탈자,479,51.15
드레이븐,롱소드,320,38.13
드레이븐,민첩성의 망토,284,46.83
드레이븐,B.F. 대검,259,56.37
드레이븐,곡괭이,222,38.29
드레이븐,필멸자의 운명,203,50.74
드레이븐,고속 연사포,203,67.98
드레이븐,제어 와드,149,55.03
드레이븐,최후의 속삭임,121,52.07
드레이븐,톱날 단검,105,31.43
드레이븐,불멸의 철갑궁,98,63.27
드레이븐,단검,98,52.04
드레이븐,충전형 물약,98,51.02
드레이븐,절정의 화살,91,46.15
드레이븐,수호 천사,90,70.0
드레이븐,오만,84,45.24
드레이븐,열정의 검,73,56.16
드레이븐,독사의 송곳니,62,54.84
드레이븐,삼위일체,53,43.4
드레이븐,흡혈의 낫,48,37.5
드레이븐,맬모셔스의 아귀,39,64.1
드레이븐,헤르메스의 시미터,35,51.43
드레이븐,처형인의 대검,35,37.14
드레이븐,요우무의 유령검,31,61.29
드레이븐,마법광학 장치 C44,30,56.67
드레이븐,장화,28,0.0
드레이븐,천 갑옷,26,50.0
드레이븐,정찰병의 새총,25,28.0
드레이븐,밤의 끝자락,25,60.0
드레이븐,폭풍갈퀴,24,58.33
드레이븐,강철 인장,21,61.9
드레이븐,광휘의 검,21,23.81
드레이븐,주문포식자,21,52.38
드레이븐,실험적 마공학판,20,55.0
드레이븐,악마사냥꾼의 화살,20,55.0
드레이븐,수은 장식띠,20,35.0
드레이븐,콜필드의 전투 망치,19,26.32
드레이븐,수확의 낫,18,33.33
드레이븐,요새파괴자,18,83.33
드레이븐,마법무효화의 망토,13,76.92
드레이븐,끝없는 갈망,12,66.67
드레이븐,유령 무희,11,54.55
루시안,정수 약탈자,7593,49.64
루시안,나보리 명멸검,6184,52.28
루시안,도란의 검,5922,47.48
루시안,무한의 대검,4728,55.88
루시안,도미닉 경의 인사,1594,56.65
루시안,민첩성의 망토,1548,41.6
루시안,B.F. 대검,1505,56.54
루시안,롱소드,1318,40.52
루시안,단검,1153,28.62
루시안,곡괭이,1134,43.74
루시안,충전형 물약,863,44.03
루시안,필멸자의 운명,669,56.95
루시안,최후의 속삭임,640,45.16
루시안,칠흑의 양날 도끼,542,56.09
루시안,열정의 검,530,34.34
루시안,제어 와드,511,50.1
루시안,징수의 총,496,51.61
루시안,수호 천사,465,70.32
루시안,고속 연사포,457,57.99
루시안,절정의 화살,456,46.05
루시안,피바라기,408,58.58
루시안,흡혈의 낫,328,56.1
루시안,불멸의 철갑궁,307,64.82
루시안,맬모셔스의 아귀,274,66.42
루시안,수확의 낫,215,40.93
루시안,주문포식자,171,55.56
루시안,처형인의 대검,160,30.0
루시안,강철 인장,156,56.41
루시안,폭풍갈퀴,156,53.21
루시안,수은 장식띠,143,66.43
루시안,크라켄 학살자,124,54.84
루시안,탐식의 망치,124,50.0
루시안,장화,118,1.69
루시안,천 갑옷,116,57.76
루시안,헤르메스의 시미터,111,59.46
루시안,톱날 단검,100,56.0
루시안,독사의 송곳니,98,45.92
루시안,마법무효화의 망토,80,66.25
루시안,콜필드의 전투 망치,70,38.57
