champion,item_name,pick_count,win_rate
그라가스,리치베인,83,54.22
그라가스,마법사의 신발,79,53.16
그라가스,그림자불꽃,48,45.83
그라가스,존야의 모래시계,41,56.1
그라가스,폭풍 쇄도,40,57.5
그라가스,암흑의 인장,39,43.59
그라가스,쓸데없이 큰 지팡이,34,50.0
그라가스,증폭의 고서,26,38.46
그라가스,명석함의 아이오니아 장화,25,44.0
그라가스,제어 와드,21,52.38
그라가스,마법공학 교류 발전기,20,20.0
그라가스,마법공학 로켓 벨트,17,41.18
그라가스,라바돈의 죽음모자,14,50.0
그라가스,망각의 구,14,35.71
그라가스,메자이의 영혼약탈자,13,92.31
그라가스,부서진 팔목 보호대,10,60.0
그레이브즈,징수의 총,1002,50.3
그레이브즈,요우무의 유령검,912,47.15
그레이브즈,도미닉 경의 인사,423,52.25
그레이브즈,판금 장화,375,53.07
그레이브즈,장화,332,38.86
그레이브즈,롱소드,316,34.81
그레이브즈,헤르메스의 발걸음,303,51.16
그레이브즈,불멸의 철갑궁,302,57.28
그레이브즈,무한의 대검,248,52.82
그레이브즈,민첩성의 망토,205,43.41
그레이브즈,필멸자의 운명,185,55.68
그레이브즈,제어 와드,163,44.79
그레이브즈,곡괭이,160,38.13
그레이브즈,B.F. 대검,118,60.17
그레이브즈,톱날 단검,116,33.62
그레이브즈,절정의 화살,112,37.5
그레이브즈,약간 신비한 신발,110,40.91
그레이브즈,그림자 검,92,53.26
그레이브즈,최후의 속삭임,89,49.44
그레이브즈,폭풍갈퀴,73,45.21
그레이브즈,수호 천사,58,65.52
그레이브즈,맬모셔스의 아귀,53,54.72
그레이브즈,불경한 히드라,51,66.67
그레이브즈,독사의 송곳니,46,58.7
그레이브즈,신속의 장화,39,69.23
그레이브즈,처형인의 대검,39,38.46
그레이브즈,요새파괴자,34,61.76
그레이브즈,새끼 화염발톱,34,11.76
그레이브즈,주문포식자,27,48.15
그레이브즈,마법무효화의 망토,26,46.15
그레이브즈,밤의 끝자락,22,63.64
그레이브즈,기회,21,61.9
그레이브즈,칠흑의 양날 도끼,19,47.37
그레이브즈,피바라기,17,52.94
그레이브즈,강철 인장,16,18.75
그레이브즈,갈라진 하늘,16,37.5
그레이브즈,콜필드의 전투 망치,14,28.57
그레이브즈,천 갑옷,14,50.0
그레이브즈,헤르메스의 시미터,14,64.29
그레이브즈,유령 무희,12,58.33
그레이브즈,광전사의 군화,12,66.67
그레이브즈,수은 장식띠,11,63.64
그레이브즈,흡혈의 낫,10,40.0
그웬,황혼과 새벽,1665,53.33
그웬,균열 생성기,1225,58.45
그웬,내셔의 이빨,1062,53.01
그웬,헤르메스의 발걸음,569,60.81
그웬,암흑의 인장,530,53.02
그웬,판금 장화,423,56.26
그웬,증폭의 고서,410,39.27
그웬,쓸데없이 큰 지팡이,347,55.91
그웬,존야의 모래시계,341,61.88
그웬,그림자불꽃,302,60.26
그웬,마법사의 신발,300,52.0
그웬,제어 와드,300,46.0
그웬,라바돈의 죽음모자,298,68.12
그웬,장화,270,31.85
그웬,악마의 마법서,196,34.18
그웬,기괴한 가면,192,44.27
그웬,약간 신비한 신발,139,35.97
그웬,명석함의 아이오니아 장화,139,57.55
그웬,부서진 팔목 보호대,126,60.32
그웬,방출의 마법봉,118,39.83
그웬,메자이의 영혼약탈자,106,95.28
그웬,마법공학 교류 발전기,95,43.16
그웬,추적자의 팔목 보호대,82,64.63
그웬,곡궁,65,27.69
그웬,역병의 보석,57,61.4
그웬,공허의 지팡이,57,61.4
그웬,루비 수정,55,29.09
그웬,단검,52,34.62
그웬,빛나는 티끌,50,32.0
그웬,망각의 구,48,52.08
그웬,천 갑옷,34,52.94
그웬,밴시의 장막,32,65.63
그웬,핏빛 저주,28,71.43
그웬,새끼 바람돌이,27,3.7
그웬,새끼 화염발톱,26,7.69
그웬,마법무효화의 망토,21,42.86
그웬,신속의 장화,18,83.33
그웬,점화석,13,46.15
그웬,마법공학 총검,12,83.33
그웬,마법공학 로켓 벨트,12,75.0
그웬,정령의 형상,12,91.67
그웬,얼어붙은 심장,11,90.91
그웬,란두인의 예언,11,63.64
그웬,모렐로노미콘,10,50.0
그웬,우주의 추진력,10,80.0
나피리,칠흑의 양날 도끼,194,50.0
나피리,월식,185,46.49
나피리,쇼진의 창,166,46.99
나피리,불경한 히드라,149,47.65
나피리,명석함의 아이오니아 장화,129,48.06
나피리,롱소드,104,39.42
나피리,원칙의 원형낫,90,51.11
나피리,판금 장화,86,51.16
나피리,헤르메스의 발걸음,84,50.0
나피리,곡괭이,64,48.44
나피리,독사의 송곳니,60,58.33
나피리,밤의 끝자락,56,48.21
나피리,제어 와드,55,43.64
나피리,세릴다의 원한,52,42.31
나피리,끝없는 갈망,50,64.0
나피리,땅굴 채굴기,49,51.02
나피리,죽음의 무도,48,70.83
나피리,장화,45,35.56
나피리,약간 신비한 신발,44,27.27
나피리,콜필드의 전투 망치,43,32.56
나피리,루비 수정,40,42.5
나피리,강철 인장,35,40.0
나피리,톱날 단검,25,28.0
나피리,수호 천사,22,63.64
나피리,벼락폭풍검,20,35.0
나피리,탐식의 망치,18,16.67
나피리,오만,17,58.82
나피리,빛나는 티끌,16,37.5
나피리,기회,13,53.85
나피리,야수화,13,61.54
나피리,처형인의 대검,13,38.46
나피리,요새파괴자,12,41.67
나피리,새끼 화염발톱,12,25.0
나피리,그림자 검,11,36.36
나피리,주문포식자,11,45.45
나피리,최후의 속삭임,10,50.0
녹턴,발걸음 분쇄기,449,51.89
녹턴,실험적 마공학판,423,52.72
녹턴,헤르메스의 발걸음,207,55.56
녹턴,판금 장화,205,56.59
녹턴,제어 와드,186,48.39
녹턴,칠흑의 양날 도끼,181,53.04
녹턴,장화,132,41.67
녹턴,롱소드,109,50.46
녹턴,루비 수정,108,42.59
녹턴,수호 천사,64,62.5
녹턴,탐식의 망치,64,43.75
녹턴,불경한 히드라,61,55.74
녹턴,원칙의 원형낫,60,51.67
녹턴,스테락의 도전,57,56.14
녹턴,땅굴 채굴기,52,51.92
녹턴,덤불 조끼,46,50.0
녹턴,명석함의 아이오니아 장화,44,56.82
녹턴,곡괭이,42,47.62
녹턴,강철 인장,41,53.66
녹턴,독사의 송곳니,40,60.0
녹턴,B.F. 대검,35,62.86
녹턴,천 갑옷,34,26.47
녹턴,심연의 가면,32,68.75
녹턴,음전자 망토,32,50.0
녹턴,점화석,28,46.43
녹턴,죽음의 무도,23,65.22
녹턴,단검,23,34.78
녹턴,란두인의 예언,22,77.27
녹턴,파수꾼의 갑옷,21,52.38
녹턴,처형인의 대검,20,55.0
녹턴,악마사냥꾼의 화살,19,57.89
녹턴,새끼 화염발톱,17,0.0
녹턴,징수의 총,16,56.25
녹턴,콜필드의 전투 망치,16,56.25
녹턴,티아맷,15,40.0
녹턴,맬모셔스의 아귀,14,57.14
녹턴,지크의 융합,11,72.73
녹턴,밤의 끝자락,11,63.64
녹턴,빛나는 티끌,11,18.18
녹턴,마법무효화의 망토,10,50.0
녹턴,톱날 단검,10,70.0
녹턴,거인의 허리띠,10,80.0
녹턴,기회,10,50.0
녹턴,망령의 두건,10,70.0
누누와 윌럼프,리안드리의 고통,794,53.15
누누와 윌럼프,헤르메스의 발걸음,642,50.31
누누와 윌럼프,암흑의 인장,569,51.32
누누와 윌럼프,마법공학 로켓 벨트,511,55.38
누누와 윌럼프,판금 장화,491,57.43
누누와 윌럼프,제어 와드,451,47.45
누누와 윌럼프,가시 갑옷,362,52.21
누누와 윌럼프,밴들파이프,300,56.0
누누와 윌럼프,태양불꽃 방패,285,55.09
누누와 윌럼프,존야의 모래시계,265,56.98
누누와 윌럼프,란두인의 예언,234,59.4
