champion,item_name,pick_count,win_rate
가렌,발걸음 분쇄기,84,50.0
가렌,유령 무희,50,56.0
가렌,건메탈 군화,45,46.67
가렌,도란의 방패,36,41.67
가렌,신속행진,20,55.0
가렌,망자의 갑옷,18,50.0
가렌,루비 수정,18,50.0
가렌,곡괭이,15,60.0
가렌,스테락의 도전,14,50.0
가렌,사슬끈 분쇄자,14,64.29
가렌,비상의 월갑,11,45.45
가렌,칠흑의 양날 도끼,11,54.55
가렌,쇼진의 창,11,45.45
갈리오,도란의 반지,2447,45.44
갈리오,공허한 광휘,2173,47.49
갈리오,사슬끈 분쇄자,1861,49.49
갈리오,암흑의 인장,1847,50.35
갈리오,균열 생성기,1662,52.53
갈리오,마법공학 로켓 벨트,1417,50.88
갈리오,존야의 모래시계,1183,56.3
갈리오,증폭의 고서,966,42.86
갈리오,무장 진격,913,52.25
갈리오,주문투척자의 신발,777,52.9
갈리오,제어 와드,683,47.14
갈리오,쓸데없이 큰 지팡이,540,55.0
갈리오,충전형 물약,518,34.75
갈리오,악마의 마법서,486,40.53
갈리오,기괴한 가면,475,40.42
갈리오,부서진 팔목 보호대,394,48.73
갈리오,망각의 구,343,52.77
갈리오,추적자의 팔목 보호대,295,63.73
갈리오,그림자불꽃,255,55.69
갈리오,핏빛 명석함,242,51.24
갈리오,장화,224,13.39
갈리오,영겁의 지팡이,219,48.4
갈리오,폭풍 쇄도,219,53.88
갈리오,천 갑옷,203,35.96
갈리오,메자이의 영혼약탈자,198,87.88
갈리오,루비 수정,188,37.77
갈리오,태양불꽃 방패,165,50.91
갈리오,덤불 조끼,157,44.59
갈리오,신속행진,143,53.15
갈리오,라바돈의 죽음모자,139,56.12
갈리오,무덤꽃,135,50.37
갈리오,얼어붙은 심장,123,64.23
갈리오,역병의 보석,122,63.11
갈리오,가시 갑옷,120,43.33
갈리오,도란의 방패,118,38.14
갈리오,마법공학 교류 발전기,115,36.52
갈리오,파수꾼의 갑옷,87,58.62
갈리오,리안드리의 고통,72,38.89
갈리오,핏빛 저주,64,53.13
갈리오,빛나는 티끌,58,46.55
갈리오,슈렐리아의 군가,57,57.89
갈리오,모렐로노미콘,55,52.73
갈리오,공허의 지팡이,51,47.06
갈리오,란두인의 예언,45,55.56
갈리오,우주의 추진력,45,60.0
갈리오,거인의 허리띠,42,42.86
갈리오,방출의 마법봉,41,51.22
갈리오,라일라이의 수정홀,39,58.97
갈리오,쇠사슬 조끼,39,41.03
갈리오,밴들파이프,38,52.63
갈리오,망령의 두건,37,35.14
갈리오,헤르메스의 발걸음,35,17.14
갈리오,마법무효화의 망토,34,26.47
갈리오,점화석,33,57.58
갈리오,에테르 환영,31,51.61
갈리오,바미의 불씨,31,19.35
갈리오,음전자 망토,25,48.0
갈리오,운명의 재,22,45.45
갈리오,원형질 안전벨트,21,61.9
갈리오,얼음 방패,21,38.1
갈리오,밴시의 장막,19,68.42
갈리오,케이닉 루컨,18,55.56
갈리오,신록의 장벽,16,81.25
갈리오,마법사의 신발,16,0.0
갈리오,심연의 가면,13,38.46
갈리오,해신 작쇼,10,70.0
갱플랭크,정수 약탈자,70,51.43
갱플랭크,징수의 총,43,53.49
갱플랭크,핏빛 명석함,33,60.61
갱플랭크,무한의 대검,32,65.63
갱플랭크,불멸의 철갑궁,28,50.0
갱플랭크,민첩성의 망토,28,42.86
갱플랭크,필멸자의 운명,27,66.67
갱플랭크,무장 진격,22,36.36
갱플랭크,도미닉 경의 인사,20,45.0
갱플랭크,도란의 방패,16,31.25
갱플랭크,삼위일체,14,35.71
갱플랭크,장화,13,38.46
갱플랭크,도란의 검,13,30.77
갱플랭크,롱소드,12,50.0
갱플랭크,사슬끈 분쇄자,10,50.0
갱플랭크,독사의 송곳니,10,70.0
그라가스,마법공학 로켓 벨트,130,55.38
그라가스,리치베인,120,51.67
그라가스,도란의 반지,116,61.21
그라가스,핏빛 명석함,100,62.0
그라가스,사라진 양피지,98,53.06
그라가스,사슬끈 분쇄자,76,50.0
그라가스,존야의 모래시계,75,54.67
그라가스,주문투척자의 신발,73,50.68
그라가스,증폭의 고서,66,45.45
그라가스,망각의 구,53,58.49
그라가스,여신의 눈물,52,53.85
그라가스,우주의 추진력,38,60.53
그라가스,쓸데없이 큰 지팡이,37,64.86
그라가스,루덴의 메아리,32,46.88
그라가스,그림자불꽃,27,55.56
그라가스,영겁의 지팡이,27,66.67
그라가스,대천사의 포옹,25,60.0
그라가스,부서진 팔목 보호대,22,63.64
그라가스,마법공학 교류 발전기,20,60.0
그라가스,암흑의 인장,20,65.0
그라가스,추적자의 팔목 보호대,16,43.75
그라가스,실체화 장비,15,53.33
그라가스,에테르 환영,15,66.67
그라가스,제어 와드,15,46.67
그라가스,악마의 마법서,14,42.86
그라가스,방출의 마법봉,13,84.62
그라가스,광휘의 검,12,83.33
그라가스,라바돈의 죽음모자,10,50.0
그레이브즈,요우무의 유령검,10,40.0
그레이브즈,도란의 검,10,40.0
그웬,균열 생성기,19,47.37
그웬,내셔의 이빨,11,45.45
나르,칠흑의 양날 도끼,12,41.67
나르,사슬끈 분쇄자,10,40.0
나서스,핏빛 명석함,32,62.5
나서스,정령의 형상,22,54.55
나서스,도란의 방패,21,61.9
나서스,얼어붙은 건틀릿,20,60.0
나서스,삼위일체,20,55.0
나서스,원형질 안전벨트,17,58.82
나서스,얼어붙은 심장,12,75.0
나피리,벼락폭풍검,438,50.23
나피리,핏빛 명석함,301,49.5
나피리,밤의 끝자락,298,50.67
나피리,기회,267,47.94
나피리,도란의 검,245,49.8
나피리,롱소드,242,49.59
나피리,사슬끈 분쇄자,237,53.16
나피리,세릴다의 원한,181,53.04
나피리,요새파괴자,165,53.33
나피리,톱날 단검,151,46.36
나피리,칠흑의 양날 도끼,148,54.73
나피리,독사의 송곳니,114,56.14
나피리,무장 진격,104,53.85
나피리,충전형 물약,103,51.46
나피리,요우무의 유령검,90,42.22
나피리,월식,86,45.35
나피리,콜필드의 전투 망치,63,36.51
나피리,곡괭이,60,55.0
나피리,장화,56,23.21
나피리,최후의 속삭임,54,40.74
나피리,땅굴 채굴기,54,44.44
나피리,제어 와드,51,41.18
나피리,지크의 융합,46,52.17
나피리,오만,44,54.55
나피리,수호 천사,40,70.0
나피리,강철 인장,39,66.67
나피리,신속행진,37,51.35
나피리,불경한 히드라,35,48.57
나피리,루비 수정,35,54.29
나피리,원칙의 원형낫,33,48.48
나피리,죽음의 무도,24,62.5
나피리,도란의 방패,24,54.17
나피리,쇼진의 창,22,59.09
나피리,야수화,19,63.16
나피리,탐식의 망치,18,38.89
나피리,B.F. 대검,17,70.59
나피리,그림자 검,17,70.59
나피리,맬모셔스의 아귀,15,40.0
나피리,실험적 마공학판,14,42.86
나피리,천 갑옷,14,28.57
나피리,점화석,14,14.29
나피리,빛나는 티끌,14,35.71
나피리,처형인의 대검,13,46.15
나피리,란두인의 예언,12,33.33
나피리,끝없는 갈망,12,41.67
녹턴,발걸음 분쇄기,50,50.0
녹턴,사슬끈 분쇄자,49,34.69
녹턴,얼어붙은 심장,30,60.0
녹턴,그림자 검,16,37.5
녹턴,도란의 검,14,64.29
녹턴,벼락폭풍검,14,35.71
녹턴,무장 진격,12,58.33
녹턴,롱소드,12,58.33
녹턴,제어 와드,11,45.45
녹턴,톱날 단검,11,27.27
녹턴,독사의 송곳니,10,40.0
녹턴,케이닉 루컨,10,50.0
녹턴,도란의 방패,10,40.0
누누와 윌럼프,폭풍 쇄도,274,53.28
누누와 윌럼프,주문투척자의 신발,267,54.68
누누와 윌럼프,마법공학 로켓 벨트,232,51.72
누누와 윌럼프,암흑의 인장,186,52.69
누누와 윌럼프,도란의 반지,161,55.28
누누와 윌럼프,증폭의 고서,69,40.58
누누와 윌럼프,존야의 모래시계,67,62.69
누누와 윌럼프,그림자불꽃,66,43.94
누누와 윌럼프,메자이의 영혼약탈자,51,72.55
누누와 윌럼프,쓸데없이 큰 지팡이,49,48.98
누누와 윌럼프,제어 와드,39,51.28
누누와 윌럼프,마법공학 교류 발전기,38,50.0
누누와 윌럼프,신록의 장벽,32,62.5
누누와 윌럼프,추적자의 팔목 보호대,27,70.37
누누와 윌럼프,부서진 팔목 보호대,25,44.0
누누와 윌럼프,라바돈의 죽음모자,24,29.17
누누와 윌럼프,밴시의 장막,18,44.44
누누와 윌럼프,신속행진,16,50.0
누누와 윌럼프,망각의 구,11,27.27
니코,마법공학 로켓 벨트,409,56.23
니코,주문투척자의 신발,270,57.04
니코,도란의 반지,229,54.15
니코,폭풍 쇄도,179,56.98
니코,암흑의 인장,175,56.0
니코,존야의 모래시계,132,59.09
니코,증폭의 고서,125,59.2
니코,핏빛 명석함,120,57.5
니코,쓸데없이 큰 지팡이,92,57.61
니코,그림자불꽃,88,50.0
니코,마법공학 교류 발전기,64,51.56
니코,루덴의 메아리,63,55.56
니코,제어 와드,55,40.0
니코,망각의 구,55,56.36
니코,부서진 팔목 보호대,47,53.19
니코,추적자의 팔목 보호대,32,65.63
니코,충전형 물약,31,48.39
니코,공허의 지팡이,29,55.17
니코,사슬끈 분쇄자,28,53.57
니코,에테르 환영,23,47.83
니코,라바돈의 죽음모자,23,65.22
니코,역병의 보석,18,77.78
니코,실체화 장비,17,82.35
니코,악마의 마법서,17,35.29
니코,메자이의 영혼약탈자,14,85.71
니코,무덤꽃,13,69.23
니코,장화,11,27.27
다이애나,주문투척자의 신발,754,50.27
다이애나,도란의 반지,535,44.49
다이애나,암흑의 인장,470,49.36
다이애나,마법공학 로켓 벨트,452,48.23
다이애나,존야의 모래시계,437,54.23
다이애나,폭풍 쇄도,435,48.28
다이애나,그림자불꽃,379,51.98
다이애나,황혼과 새벽,296,55.41
다이애나,쓸데없이 큰 지팡이,282,55.67
다이애나,증폭의 고서,269,39.41
다이애나,사슬끈 분쇄자,187,51.34
다이애나,충전형 물약,110,36.36
다이애나,부서진 팔목 보호대,101,59.41
다이애나,마법공학 교류 발전기,99,35.35
다이애나,제어 와드,97,40.21
다이애나,리치베인,93,50.54
다이애나,균열 생성기,92,56.52
다이애나,라바돈의 죽음모자,90,54.44
다이애나,망각의 구,74,43.24
다이애나,공허의 지팡이,53,50.94
다이애나,역병의 보석,52,44.23
다이애나,장화,47,6.38
다이애나,추적자의 팔목 보호대,47,46.81
다이애나,방출의 마법봉,43,37.21
다이애나,메자이의 영혼약탈자,43,95.35
다이애나,무장 진격,42,57.14
다이애나,리안드리의 고통,35,57.14
다이애나,기괴한 가면,30,60.0
다이애나,에테르 환영,30,43.33
다이애나,악마의 마법서,18,44.44
다이애나,내셔의 이빨,18,55.56
다이애나,밴시의 장막,16,56.25
다이애나,루비 수정,15,46.67
다이애나,핏빛 저주,14,21.43
다이애나,천 갑옷,12,58.33
다이애나,광휘의 검,12,33.33
다이애나,해신 작쇼,10,70.0
드레이븐,도란의 검,12,41.67
드레이븐,피바라기,11,45.45
라이즈,영겁의 지팡이,4231,49.52
라이즈,대천사의 포옹,3599,51.82
라이즈,도란의 반지,2282,47.06
라이즈,사슬끈 분쇄자,1726,50.87
라이즈,실체화 장비,1527,54.75
라이즈,핏빛 명석함,1250,51.2
라이즈,증폭의 고서,849,44.41
라이즈,존야의 모래시계,820,55.98
라이즈,여신의 눈물,790,35.7
라이즈,사라진 양피지,709,46.12
라이즈,쓸데없이 큰 지팡이,707,54.31
라이즈,주문투척자의 신발,685,52.99
라이즈,제어 와드,517,44.68
라이즈,라바돈의 죽음모자,454,54.41
라이즈,방출의 마법봉,423,50.35
라이즈,충전형 물약,323,41.49
라이즈,부서진 팔목 보호대,317,57.41
라이즈,암흑의 인장,297,50.84
라이즈,공허의 지팡이,284,51.06
라이즈,무장 진격,274,52.55
라이즈,역병의 보석,273,46.89
라이즈,추적자의 팔목 보호대,211,54.03
라이즈,악마의 마법서,199,36.68
라이즈,신속행진,175,49.71
라이즈,장화,171,16.37
라이즈,사파이어 수정,131,43.51
라이즈,망각의 구,101,44.55
라이즈,얼어붙은 심장,77,49.35
라이즈,밴시의 장막,70,68.57
라이즈,천 갑옷,61,45.9
라이즈,무덤꽃,54,57.41
라이즈,우주의 추진력,48,66.67
라이즈,빛나는 티끌,46,30.43
라이즈,메자이의 영혼약탈자,43,95.35
라이즈,대천사의 지팡이,41,65.85
