champion,item_name,pick_count,win_rate
가렌,발걸음 분쇄기,709,48.66
가렌,광전사의 군화,573,48.69
가렌,도란의 방패,329,45.29
가렌,유령 무희,298,54.03
가렌,망자의 갑옷,132,53.03
가렌,쇼진의 창,128,48.44
가렌,폭풍갈퀴,122,57.38
가렌,단검,119,42.86
가렌,필멸자의 운명,96,56.25
가렌,신속의 장화,84,45.24
가렌,곡괭이,82,53.66
가렌,루비 수정,81,39.51
가렌,스테락의 도전,79,51.9
가렌,비상의 월갑,79,45.57
가렌,롱소드,75,40.0
가렌,민첩성의 망토,73,50.68
가렌,충전형 물약,72,30.56
가렌,무한의 대검,70,57.14
가렌,땅굴 채굴기,70,41.43
가렌,칠흑의 양날 도끼,68,44.12
가렌,제어 와드,67,52.24
가렌,처형인의 대검,66,39.39
가렌,B.F. 대검,57,64.91
가렌,독사의 송곳니,43,44.19
가렌,판금 장화,42,45.24
가렌,도란의 검,41,46.34
가렌,쇠사슬 조끼,39,53.85
가렌,대자연의 힘,36,58.33
가렌,탐식의 망치,34,26.47
가렌,장화,34,29.41
가렌,열정의 검,29,41.38
가렌,최후의 속삭임,24,50.0
가렌,티아맷,24,20.83
가렌,음전자 망토,23,34.78
가렌,정찰병의 새총,21,38.1
가렌,천 갑옷,20,45.0
가렌,헤르메스의 발걸음,18,33.33
가렌,삼위일체,14,50.0
가렌,덤불 조끼,12,16.67
가렌,톱날 단검,11,27.27
가렌,도미닉 경의 인사,10,70.0
가렌,강철 인장,10,70.0
갈리오,공허한 광휘,175,56.0
갈리오,도란의 반지,154,57.79
갈리오,헤르메스의 발걸음,123,55.28
갈리오,균열 생성기,111,54.95
갈리오,암흑의 인장,78,58.97
갈리오,판금 장화,73,57.53
갈리오,존야의 모래시계,55,56.36
갈리오,증폭의 고서,42,69.05
갈리오,충전형 물약,37,45.95
갈리오,마법공학 로켓 벨트,35,57.14
갈리오,제어 와드,35,62.86
갈리오,망각의 구,29,55.17
갈리오,쓸데없이 큰 지팡이,25,44.0
갈리오,기괴한 가면,25,64.0
갈리오,부서진 팔목 보호대,24,54.17
갈리오,루비 수정,23,39.13
갈리오,마법사의 신발,22,59.09
갈리오,태양불꽃 방패,22,54.55
갈리오,악마의 마법서,20,55.0
갈리오,장화,20,40.0
갈리오,명석함의 아이오니아 장화,19,57.89
갈리오,가시 갑옷,19,36.84
갈리오,덤불 조끼,17,41.18
갈리오,파수꾼의 갑옷,17,52.94
갈리오,영겁의 지팡이,14,71.43
갈리오,신속의 장화,14,71.43
갈리오,천 갑옷,14,42.86
갈리오,얼어붙은 심장,14,50.0
갈리오,도란의 방패,12,50.0
갈리오,란두인의 예언,11,72.73
갈리오,그림자불꽃,11,63.64
갈리오,리안드리의 고통,11,63.64
갈리오,마법무효화의 망토,11,54.55
갈리오,원형질 안전벨트,10,70.0
갈리오,음전자 망토,10,50.0
갱플랭크,정수 약탈자,2215,52.05
갱플랭크,징수의 총,1519,55.89
갱플랭크,무한의 대검,950,57.26
갱플랭크,판금 장화,934,56.53
갱플랭크,민첩성의 망토,892,47.42
갱플랭크,명석함의 아이오니아 장화,801,53.56
갱플랭크,도란의 검,743,52.09
갱플랭크,도미닉 경의 인사,679,58.32
갱플랭크,필멸자의 운명,590,49.32
갱플랭크,불멸의 철갑궁,392,58.67
갱플랭크,롱소드,359,46.8
갱플랭크,장화,358,35.75
갱플랭크,삼위일체,352,55.11
갱플랭크,도란의 방패,339,47.2
갱플랭크,독사의 송곳니,331,50.45
갱플랭크,곡괭이,287,45.99
갱플랭크,B.F. 대검,285,58.6
갱플랭크,톱날 단검,275,52.73
갱플랭크,충전형 물약,241,43.98
갱플랭크,절정의 화살,212,52.83
갱플랭크,제어 와드,202,50.0
갱플랭크,신속의 장화,188,56.91
갱플랭크,처형인의 대검,167,52.1
갱플랭크,헤르메스의 발걸음,159,50.94
갱플랭크,최후의 속삭임,147,46.94
갱플랭크,요우무의 유령검,92,55.43
갱플랭크,광전사의 군화,83,60.24
갱플랭크,쇼진의 창,50,64.0
갱플랭크,맬모셔스의 아귀,49,65.31
갱플랭크,콜필드의 전투 망치,45,31.11
갱플랭크,덤불 조끼,43,55.81
갱플랭크,끝없는 갈망,37,51.35
갱플랭크,주문포식자,31,61.29
갱플랭크,천 갑옷,30,50.0
갱플랭크,수호 천사,27,62.96
갱플랭크,광휘의 검,22,18.18
갱플랭크,수확의 낫,21,47.62
갱플랭크,죽음의 무도,19,52.63
갱플랭크,요새파괴자,19,57.89
갱플랭크,강철 인장,17,76.47
갱플랭크,땅굴 채굴기,13,61.54
갱플랭크,루비 수정,13,53.85
갱플랭크,마법무효화의 망토,12,41.67
갱플랭크,란두인의 예언,11,72.73
갱플랭크,약간 신비한 신발,10,50.0
갱플랭크,윤 탈 야생화살,10,60.0
갱플랭크,기회,10,90.0
그라가스,명석함의 아이오니아 장화,836,49.64
그라가스,도란의 반지,607,46.29
그라가스,영겁의 지팡이,562,48.93
그라가스,우주의 추진력,414,52.42
그라가스,종말의 겨울,380,56.84
그라가스,대천사의 포옹,343,49.56
그라가스,증폭의 고서,231,47.19
그라가스,존야의 모래시계,163,52.76
그라가스,여신의 눈물,157,34.39
그라가스,점화석,148,50.68
그라가스,악마의 마법서,143,43.36
그라가스,제어 와드,126,57.14
그라가스,망각의 구,123,44.72
그라가스,마법공학 로켓 벨트,108,50.0
그라가스,루덴의 메아리,107,46.73
그라가스,쓸데없이 큰 지팡이,96,55.21
그라가스,사라진 양피지,89,40.45
그라가스,마법사의 신발,87,35.63
그라가스,그림자불꽃,83,42.17
그라가스,충전형 물약,80,32.5
그라가스,리치베인,76,56.58
그라가스,부서진 팔목 보호대,72,59.72
그라가스,헤르메스의 발걸음,70,51.43
그라가스,에테르 환영,65,41.54
그라가스,마법공학 교류 발전기,63,28.57
그라가스,장화,57,31.58
그라가스,암흑의 인장,56,58.93
그라가스,루비 수정,56,39.29
그라가스,판금 장화,49,57.14
그라가스,얼어붙은 심장,44,54.55
그라가스,추적자의 팔목 보호대,42,76.19
그라가스,빛나는 티끌,38,50.0
그라가스,거인의 허리띠,35,42.86
그라가스,천 갑옷,33,45.45
그라가스,폭풍 쇄도,29,48.28
그라가스,라바돈의 죽음모자,29,44.83
그라가스,방출의 마법봉,21,28.57
그라가스,역병의 보석,20,55.0
그라가스,음전자 망토,19,47.37
그라가스,모렐로노미콘,18,61.11
그라가스,밴들파이프,18,66.67
그라가스,실체화 장비,17,41.18
그라가스,광휘의 검,16,62.5
그라가스,덤불 조끼,15,66.67
그라가스,밴시의 장막,14,71.43
그라가스,파수꾼의 갑옷,13,46.15
그라가스,무덤꽃,13,69.23
그라가스,혹한의 손길,12,58.33
그라가스,정령의 형상,11,45.45
그라가스,마법무효화의 망토,11,72.73
그라가스,심연의 가면,11,54.55
그라가스,쇠사슬 조끼,10,50.0
그레이브즈,도란의 검,19,21.05
그레이브즈,판금 장화,15,26.67
그레이브즈,정수 약탈자,10,40.0
그웬,균열 생성기,1499,54.57
그웬,내셔의 이빨,875,55.66
그웬,도란의 반지,775,53.03
그웬,황혼과 새벽,558,60.22
그웬,판금 장화,554,53.61
그웬,쓸데없이 큰 지팡이,379,60.95
그웬,증폭의 고서,357,46.22
그웬,헤르메스의 발걸음,328,56.71
그웬,명석함의 아이오니아 장화,319,63.64
그웬,그림자불꽃,316,53.16
그웬,존야의 모래시계,248,60.48
그웬,라바돈의 죽음모자,235,63.4
그웬,마법사의 신발,212,51.42
그웬,암흑의 인장,197,58.38
그웬,장화,192,36.46
그웬,제어 와드,183,53.55
그웬,방출의 마법봉,170,50.59
그웬,충전형 물약,146,41.1
그웬,악마의 마법서,142,36.62
그웬,망각의 구,117,48.72
그웬,공허의 지팡이,92,66.3
그웬,마법공학 교류 발전기,91,47.25
그웬,곡궁,86,45.35
