champion,tier,win_rate,pick_rate,ban_rate,pick_count,op_score
아펠리오스,1티어,50.12,29.31,23.17,13067,6.51
루시안,1티어,49.36,17.63,5.76,7858,4.79
유나라,1티어,49.27,18.14,2.76,8088,4.64
이즈리얼,2티어,47.34,19.13,3.47,8528,4.6
미스 포츈,2티어,52.24,8.8,7.54,3922,4.59
카이사,2티어,48.77,19.73,0.76,8798,4.59
케이틀린,2티어,50.44,11.54,3.67,5145,4.4
드레이븐,2티어,51.24,3.35,10.12,1493,4.36
징크스,2티어,52.62,10.77,0.49,4800,4.33
시비르,2티어,53.04,7.55,1.85,3367,4.25
스웨인,2티어,56.57,1.78,0.27,792,4.08
트리스타나,2티어,52.53,5.46,1.5,2435,4.07
야스오,2티어,53.06,0.77,5.41,343,4.07
진,2티어,47.65,11.49,0.28,5121,4.01
닐라,2티어,55.41,1.68,0.53,749,4.0
카시오페아,3티어,54.23,1.56,1.65,697,3.98
칼리스타,3티어,55.66,0.99,0.08,442,3.96
직스,3티어,53.56,1.57,0.15,702,3.85
벨코즈,3티어,53.47,1.0,0.28,447,3.82
자야,3티어,52.26,2.48,0.13,1104,3.81
스몰더,3티어,51.69,2.85,0.15,1269,3.79
멜,3티어,49.03,0.58,5.24,259,3.76
코그모,3티어,52.67,0.63,0.03,281,3.72
바루스,3티어,48.16,4.8,1.19,2141,3.71
트위치,3티어,51.36,1.4,0.15,625,3.68
애쉬,3티어,47.51,3.87,1.5,1726,3.63
아우렐리온 솔,4티어,50.84,0.53,0.15,238,3.6
사미라,4티어,50.0,1.3,0.13,578,3.58
코르키,4티어,48.09,2.52,0.06,1125,3.51
제리,4티어,46.78,3.41,0.06,1522,3.47
베인,4티어,45.02,0.65,0.28,291,3.2
