champion,tier,win_rate,pick_rate,ban_rate,pick_count,op_score
제이스,OP,49.03,17.29,38.2,7706,6.43
리 신,OP,51.07,22.3,12.53,9943,5.46
말파이트,1티어,44.22,7.84,27.33,3494,5.0
키아나,1티어,51.29,7.91,15.28,3525,4.84
에코,1티어,51.28,10.84,5.74,4832,4.48
사일러스,1티어,49.66,6.55,11.21,2918,4.43
카서스,1티어,53.49,4.18,7.59,1864,4.38
니달리,1티어,51.53,6.97,5.95,3107,4.3
잭스,1티어,52.28,0.54,10.53,241,4.26
렉사이,1티어,54.2,6.12,1.7,2727,4.21
제드,1티어,47.56,4.79,9.53,2134,4.1
뽀삐,2티어,51.53,0.66,8.52,295,4.1
자크,2티어,53.98,4.36,0.66,1945,4.05
자이라,2티어,54.03,2.64,2.01,1179,4.03
피들스틱,2티어,55.26,1.7,0.51,760,3.99
그웬,2티어,52.2,4.23,1.79,1887,3.98
벨베스,2티어,53.96,2.72,0.92,1212,3.97
누누와 윌럼프,2티어,53.42,3.65,0.69,1625,3.97
엘리스,2티어,48.67,1.77,8.45,789,3.96
탈론,2티어,50.82,4.26,2.44,1897,3.92
비에고,2티어,48.28,9.06,0.77,4039,3.91
릴리아,2티어,52.85,2.91,0.7,1298,3.89
헤카림,2티어,50.31,5.01,1.56,2234,3.87
카직스,2티어,50.88,5.1,0.72,2274,3.87
이블린,2티어,53.66,1.78,0.34,792,3.87
암베사,2티어,45.39,6.03,6.74,2690,3.87
킨드레드,2티어,52.81,2.19,0.39,977,3.83
자르반 4세,3티어,49.6,6.17,0.15,2752,3.81
샤코,3티어,50.0,1.4,4.3,626,3.81
녹턴,3티어,52.56,1.36,0.23,605,3.76
람머스,3티어,52.73,0.7,0.14,311,3.73
바이,3티어,47.46,6.97,0.62,3108,3.73
우디르,3티어,52.52,0.76,0.14,337,3.72
신 짜오,3티어,48.75,4.92,0.33,2193,3.69
탈리야,3티어,51.14,1.57,0.44,702,3.69
렝가,3티어,49.92,1.47,0.96,655,3.62
판테온,3티어,50.39,0.86,0.35,385,3.59
그레이브즈,3티어,47.99,2.68,0.55,1196,3.53
케인,3티어,48.67,1.09,0.06,487,3.47
세주아니,3티어,48.67,1.09,0.05,487,3.47
아이번,3티어,48.15,1.27,0.25,567,3.45
오공,3티어,47.28,1.94,0.1,863,3.42
마스터 이,4티어,47.34,1.35,0.22,602,3.4
다이애나,4티어,45.68,2.99,0.65,1331,3.39
스카너,4티어,46.83,0.92,0.04,410,3.33
나피리,4티어,45.75,0.9,0.62,400,3.28
문도 박사,4티어,44.48,1.38,0.57,616,3.22
브라이어,4티어,45.19,0.61,0.08,270,3.2
아트록스,4티어,43.59,0.7,1.07,312,3.14
