champion,tier,win_rate,pick_rate,ban_rate,pick_count,op_score
제이스,OP,48.66,0.59,38.2,261,6.41
아칼리,1티어,48.02,13.19,16.91,5881,5.69
르블랑,1티어,49.05,5.57,23.32,2481,5.67
키아나,1티어,54.55,4.1,15.28,1826,5.32
오리아나,1티어,50.67,13.77,7.14,6140,5.16
조이,1티어,52.65,6.56,11.99,2925,5.12
사일러스,1티어,48.42,9.21,11.21,4104,4.97
제드,1티어,51.87,6.25,9.53,2788,4.85
트위스티드 페이트,1티어,53.49,8.36,1.69,3726,4.52
이렐리아,2티어,52.11,3.03,8.19,1351,4.51
카타리나,2티어,52.24,6.87,3.1,3061,4.43
니코,2티어,55.53,0.99,5.22,443,4.36
라이즈,2티어,49.15,9.85,1.98,4389,4.35
암베사,2티어,52.65,0.85,6.74,378,4.27
야스오,2티어,49.38,4.88,5.41,2175,4.25
갈리오,2티어,48.31,9.52,1.73,4243,4.25
에코,2티어,49.43,4.31,5.74,1922,4.23
탈론,2티어,52.39,4.17,2.44,1859,4.18
판테온,2티어,57.21,1.4,0.35,624,4.14
애니비아,2티어,54.22,2.9,1.51,1291,4.13
벡스,2티어,53.51,2.59,1.16,1155,4.03
신드라,2티어,48.93,5.89,1.1,2628,3.96
탈리야,2티어,49.77,5.27,0.44,2351,3.92
아크샨,2티어,51.76,2.67,1.23,1190,3.92
그라가스,2티어,55.34,0.57,0.04,253,3.92
아리,2티어,50.02,5.05,0.13,2251,3.9
빅토르,2티어,46.23,6.75,1.85,3009,3.9
리산드라,3티어,53.04,2.33,0.1,1037,3.9
레넥톤,3티어,51.2,0.56,3.18,250,3.87
제라스,3티어,52.25,2.15,0.26,957,3.84
오로라,3티어,49.2,4.21,0.69,1878,3.82
카사딘,3티어,53.17,1.03,0.09,457,3.8
요네,3티어,47.24,5.16,1.03,2299,3.78
아우렐리온 솔,3티어,51.53,1.84,0.15,819,3.76
카시오페아,3티어,49.82,1.86,1.65,831,3.76
비에고,3티어,52.21,0.56,0.77,249,3.75
사이온,3티어,52.22,0.96,0.23,427,3.74
누누와 윌럼프,3티어,51.76,0.7,0.69,313,3.73
베이가,3티어,51.8,0.87,0.07,388,3.7
스웨인,3티어,50.83,0.94,0.27,421,3.65
나피리,3티어,49.46,1.66,0.62,742,3.64
다이애나,3티어,48.63,2.37,0.65,1057,3.63
멜,3티어,43.1,2.75,5.24,1225,3.63
피즈,3티어,50.16,1.4,0.2,622,3.63
럭스,3티어,50.59,0.95,0.1,423,3.62
블라디미르,3티어,49.11,1.76,0.62,784,3.62
트리스타나,3티어,48.6,0.96,1.5,428,3.59
아지르,3티어,47.35,3.0,0.51,1339,3.58
코르키,4티어,48.61,1.45,0.06,648,3.52
흐웨이,4티어,46.31,2.7,0.43,1205,3.48
말자하,4티어,46.88,1.83,0.19,817,3.43
스몰더,4티어,46.15,0.67,0.15,299,3.29
애니,4티어,44.67,0.55,0.05,244,3.17
