champion,tier,win_rate,pick_rate,ban_rate,pick_count,op_score
파이크,1티어,49.42,6.6,29.93,2942,6.33
브라움,1티어,51.9,16.63,8.98,7414,5.64
르블랑,1티어,48.95,1.39,23.32,619,5.36
노틸러스,1티어,49.67,17.63,4.79,7860,5.23
쓰레쉬,1티어,51.23,14.39,2.7,6414,4.93
뽀삐,1티어,52.68,4.89,8.52,2179,4.74
엘리스,2티어,51.74,4.97,8.45,2217,4.67
니코,2티어,51.72,7.09,5.22,3163,4.58
알리스타,2티어,51.45,10.6,1.13,4727,4.52
레오나,2티어,51.43,9.6,1.38,4278,4.46
룰루,2티어,46.69,11.81,2.84,5267,4.42
사일러스,2티어,49.36,1.05,11.21,470,4.42
바드,2티어,51.06,8.43,1.81,3758,4.38
블리츠크랭크,2티어,49.88,6.47,4.76,2883,4.37
라칸,2티어,50.77,9.82,0.44,4379,4.36
카르마,2티어,47.95,10.16,2.41,4530,4.34
렐,2티어,51.83,8.34,0.45,3720,4.32
애니비아,2티어,54.37,0.57,1.51,252,3.97
세나,2티어,53.62,2.48,0.06,1106,3.95
니달리,3티어,48.16,1.1,5.95,490,3.92
마오카이,3티어,52.9,2.6,0.05,1157,3.91
럭스,3티어,52.09,1.61,0.1,716,3.78
잔나,3티어,52.03,1.44,0.05,640,3.76
타릭,3티어,50.53,2.34,0.1,1043,3.73
나미,3티어,49.37,3.38,0.05,1505,3.72
질리언,3티어,51.54,1.31,0.08,584,3.71
소라카,3티어,49.95,2.11,0.07,939,3.66
유미,3티어,43.82,4.24,3.37,1892,3.66
벨코즈,3티어,50.89,1.01,0.28,450,3.66
판테온,3티어,48.61,2.41,0.35,1076,3.62
모르가나,3티어,49.42,1.35,0.68,601,3.62
샤코,3티어,45.72,0.76,4.3,339,3.6
레나타 글라스크,3티어,50.6,0.56,0.02,251,3.58
카밀,3티어,49.81,0.58,0.11,257,3.54
소나,3티어,47.59,2.56,0.09,1141,3.54
자이라,3티어,46.91,0.87,2.01,388,3.51
멜,3티어,41.83,1.35,5.24,600,3.44
스웨인,4티어,47.12,1.32,0.27,590,3.42
피들스틱,4티어,47.57,0.65,0.51,288,3.42
밀리오,4티어,46.22,2.26,0.06,1006,3.41
탐 켄치,4티어,47.74,0.64,0.05,287,3.39
세라핀,4티어,45.02,2.79,0.12,1246,3.38
제라스,4티어,41.8,0.72,0.26,323,3.0
