champion,tier,win_rate,pick_rate,ban_rate,pick_count,op_score
제이스,OP,49.52,3.04,38.2,1355,6.47
말파이트,OP,50.45,3.22,27.33,1437,5.75
럼블,1티어,53.0,10.48,10.84,4674,5.26
잭스,1티어,51.2,10.28,10.53,4584,5.1
아칼리,1티어,49.07,2.52,16.91,1125,4.85
암베사,1티어,48.93,11.72,6.74,5224,4.77
피오라,1티어,51.81,6.4,7.01,2853,4.6
이렐리아,1티어,50.6,5.21,8.19,2322,4.52
뽀삐,1티어,52.13,1.68,8.52,750,4.39
사일러스,1티어,49.6,1.4,11.21,625,4.39
케넨,2티어,54.06,5.16,3.0,2301,4.38
레넥톤,2티어,49.23,8.86,3.18,3949,4.32
자헨,2티어,50.73,6.48,3.88,2888,4.3
갱플랭크,2티어,52.1,5.82,3.17,2593,4.3
드레이븐,2티어,49.12,0.51,10.12,228,4.21
크산테,2티어,46.58,10.23,2.12,4560,4.16
그웬,2티어,53.61,3.69,1.79,1647,4.15
올라프,2티어,54.46,3.22,0.87,1436,4.11
갈리오,2티어,56.04,0.61,1.73,273,4.09
애니비아,2티어,55.73,0.86,1.51,384,4.07
신지드,2티어,54.41,2.87,0.63,1281,4.06
우르곳,2티어,55.2,2.09,0.13,933,4.02
나르,2티어,49.95,4.82,1.6,2150,3.96
리븐,2티어,53.06,2.68,0.18,1193,3.92
렉사이,2티어,52.9,1.0,1.7,448,3.9
케일,2티어,54.59,0.88,0.09,392,3.89
야스오,3티어,46.95,2.54,5.41,1133,3.86
라이즈,3티어,49.92,2.88,1.98,1282,3.85
우디르,3티어,53.22,1.36,0.14,605,3.83
렝가,3티어,52.21,1.47,0.96,655,3.83
스웨인,3티어,53.75,0.57,0.27,253,3.82
다리우스,3티어,48.49,3.35,2.5,1495,3.82
쉔,3티어,51.34,2.67,0.16,1192,3.8
카시오페아,3티어,51.19,1.23,1.65,547,3.79
베인,3티어,51.55,2.02,0.28,902,3.78
카밀,3티어,49.78,3.57,0.11,1591,3.75
블라디미르,3티어,49.88,2.71,0.62,1209,3.73
아트록스,3티어,46.65,5.35,1.07,2386,3.73
티모,3티어,51.26,1.43,0.49,636,3.73
모데카이저,3티어,51.0,1.8,0.15,802,3.71
퀸,3티어,51.83,0.8,0.17,355,3.7
바루스,3티어,49.21,2.28,1.19,1018,3.7
볼리베어,3티어,49.17,3.1,0.32,1381,3.69
워윅,3티어,50.32,1.73,0.35,771,3.67
요릭,3티어,49.67,1.7,0.99,759,3.67
오공,3티어,51.55,0.58,0.1,258,3.66
클레드,3티어,49.27,2.47,0.24,1102,3.64
요네,3티어,46.71,3.78,1.03,1687,3.62
세주아니,3티어,50.2,1.11,0.05,494,3.6
사이온,3티어,45.74,5.18,0.23,2311,3.59
그라가스,3티어,48.29,2.49,0.04,1110,3.56
하이머딩거,3티어,49.4,0.75,0.48,334,3.55
오른,3티어,48.64,1.73,0.02,773,3.53
판테온,3티어,47.97,1.88,0.35,836,3.52
세트,4티어,47.34,2.48,0.14,1107,3.5
오로라,4티어,47.9,1.12,0.69,501,3.48
문도 박사,4티어,46.41,2.6,0.57,1157,3.48
트린다미어,4티어,46.83,1.59,0.76,709,3.45
가렌,4티어,46.9,1.7,0.21,759,3.42
자크,4티어,46.89,0.79,0.66,354,3.39
탐 켄치,4티어,47.44,0.66,0.05,293,3.37
나서스,4티어,46.38,0.68,0.06,304,3.3
일라오이,4티어,43.58,0.89,0.2,397,3.13
신 짜오,4티어,43.05,0.5,0.33,223,3.07
