champion,tier,win_rate,pick_rate,ban_rate,pick_count,op_score
제드,연구용,100.0,0.0,9.53,2,7.54
카타리나,연구용,100.0,0.0,3.1,2,7.18
갈리오,연구용,100.0,0.0,1.73,1,7.1
럭스,연구용,100.0,0.0,0.1,1,7.01
렝가,연구용,88.89,0.02,0.96,9,6.28
브랜드,연구용,72.73,0.02,0.03,11,5.09
카르마,연구용,66.67,0.01,2.41,3,4.8
트위스티드 페이트,연구용,66.67,0.01,1.69,6,4.76
아크샨,연구용,66.67,0.01,1.23,3,4.74
아지르,연구용,66.67,0.01,0.51,6,4.7
카서스,연구용,58.2,0.27,7.59,122,4.52
빅토르,연구용,62.16,0.17,1.85,74,4.47
베이가,연구용,60.45,0.3,0.07,134,4.25
킨드레드,연구용,60.0,0.01,0.39,5,4.22
키아나,연구용,46.15,0.06,15.28,26,4.11
초가스,연구용,57.14,0.06,0.04,28,4.0
하이머딩거,연구용,56.0,0.28,0.48,125,3.96
신드라,연구용,55.56,0.04,1.1,18,3.95
오리아나,연구용,50.0,0.0,7.14,2,3.91
신지드,연구용,54.95,0.41,0.63,182,3.9
비에고,연구용,54.55,0.02,0.77,11,3.86
니코,연구용,50.0,0.0,5.22,2,3.8
애니비아,연구용,52.94,0.04,1.51,17,3.79
흐웨이,연구용,52.38,0.19,0.43,84,3.7
자이라,연구용,50.0,0.03,2.01,12,3.62
라이즈,연구용,50.0,0.01,1.98,6,3.61
그레이브즈,연구용,50.0,0.02,0.55,8,3.53
티모,연구용,50.0,0.0,0.49,2,3.53
세트,연구용,50.0,0.0,0.14,2,3.51
세라핀,연구용,47.62,0.14,0.12,63,3.35
제라스,연구용,47.24,0.28,0.26,127,3.34
탈리야,연구용,46.15,0.06,0.44,26,3.26
블라디미르,연구용,42.86,0.02,0.62,7,3.04
이렐리아,연구용,33.33,0.01,8.19,3,2.8
요네,연구용,33.33,0.02,1.03,9,2.39
사일러스,연구용,25.0,0.01,11.21,4,2.39
세나,연구용,32.26,0.07,0.06,31,2.26
제이스,연구용,0.0,0.0,38.2,2,2.18
말자하,연구용,25.0,0.01,0.19,4,1.76
오로라,연구용,22.22,0.02,0.69,9,1.6
르블랑,연구용,0.0,0.0,23.32,1,1.33
다리우스,연구용,0.0,0.0,2.5,1,0.14
크산테,연구용,0.0,0.01,2.12,3,0.12
모르가나,연구용,0.0,0.0,0.68,1,0.04
자크,연구용,0.0,0.0,0.66,1,0.04
나피리,연구용,0.0,0.0,0.62,1,0.03
피들스틱,연구용,0.0,0.0,0.51,1,0.03
라칸,연구용,0.0,0.0,0.44,1,0.02
신 짜오,연구용,0.0,0.0,0.33,2,0.02
사이온,연구용,0.0,0.0,0.23,1,0.01
마스터 이,연구용,0.0,0.0,0.22,1,0.01
가렌,연구용,0.0,0.0,0.21,2,0.01
람머스,연구용,0.0,0.0,0.14,2,0.01
리산드라,연구용,0.0,0.0,0.1,1,0.0
오른,연구용,0.0,0.0,0.02,1,0.0
