champion,tier,win_rate,pick_rate,ban_rate,pick_count,op_score
라이즈,연구용,100.0,0.0,1.98,1,7.1
애쉬,연구용,100.0,0.0,1.5,1,7.08
니코,연구용,61.54,0.09,5.22,39,4.59
우르곳,연구용,62.5,0.02,0.13,8,4.38
초가스,연구용,57.55,0.31,0.04,139,4.05
자헨,연구용,52.11,0.16,3.88,71,3.86
다리우스,연구용,52.94,0.04,2.5,17,3.84
브랜드,연구용,52.99,0.26,0.03,117,3.72
리븐,연구용,52.94,0.08,0.18,34,3.72
워윅,연구용,52.04,0.5,0.35,221,3.69
쉔,연구용,52.38,0.05,0.16,21,3.68
모데카이저,연구용,52.38,0.05,0.15,21,3.68
그라가스,연구용,51.3,0.26,0.04,115,3.61
카밀,연구용,50.0,0.0,0.11,2,3.5
타릭,연구용,50.0,0.0,0.1,2,3.5
럼블,연구용,40.43,0.11,10.84,47,3.42
볼리베어,연구용,48.39,0.14,0.32,62,3.41
트런들,연구용,46.77,0.45,0.04,201,3.3
마오카이,연구용,45.31,0.14,0.05,64,3.18
요네,연구용,44.44,0.02,1.03,9,3.17
올라프,연구용,44.3,0.18,0.87,79,3.16
모르가나,연구용,41.79,0.15,0.68,67,2.97
아무무,연구용,40.21,0.22,0.22,97,2.84
사이온,연구용,39.13,0.05,0.23,23,2.75
쉬바나,연구용,36.84,0.04,0.0,19,2.58
트위치,연구용,36.36,0.02,0.15,11,2.55
이즈리얼,연구용,33.33,0.01,3.47,3,2.52
신지드,연구용,33.33,0.01,0.63,3,2.37
제리,연구용,33.33,0.01,0.06,3,2.33
피즈,연구용,28.57,0.02,0.2,7,2.01
아우렐리온 솔,연구용,25.0,0.02,0.15,8,1.76
나서스,연구용,25.0,0.02,0.06,8,1.75
노틸러스,연구용,16.67,0.01,4.79,6,1.42
아펠리오스,연구용,0.0,0.0,23.17,1,1.25
베인,연구용,14.29,0.02,0.28,7,1.01
카이사,연구용,9.09,0.02,0.76,11,0.68
드레이븐,연구용,0.0,0.0,10.12,1,0.55
바드,연구용,0.0,0.0,1.81,1,0.1
트위스티드 페이트,연구용,0.0,0.0,1.69,1,0.09
카시오페아,연구용,0.0,0.0,1.65,1,0.09
트린다미어,연구용,0.0,0.0,0.76,2,0.04
티모,연구용,0.0,0.02,0.49,7,0.03
하이머딩거,연구용,0.0,0.0,0.48,1,0.02
진,연구용,0.0,0.0,0.28,2,0.01
가렌,연구용,0.0,0.0,0.21,1,0.01
스몰더,연구용,0.0,0.0,0.15,1,0.01
