champion,tier,win_rate,pick_rate,ban_rate,pick_count,op_score
람머스,연구용,100.0,0.0,0.14,2,7.01
칼리스타,연구용,100.0,0.0,0.08,1,7.0
잔나,연구용,100.0,0.0,0.05,1,7.0
파이크,연구용,62.5,0.05,29.93,24,6.69
뽀삐,연구용,72.73,0.05,8.52,22,5.75
말파이트,연구용,50.88,0.26,27.33,114,5.69
피오라,연구용,71.43,0.05,7.01,21,5.54
케이틀린,연구용,75.0,0.01,3.67,4,5.53
엘리스,연구용,66.67,0.01,8.45,3,5.32
올라프,연구용,75.0,0.02,0.87,8,5.32
케인,연구용,66.67,0.01,0.06,3,4.67
케넨,연구용,62.81,0.27,3.0,121,4.65
리 신,연구용,51.25,0.18,12.53,80,4.57
다리우스,연구용,62.5,0.02,2.5,8,4.57
바루스,연구용,62.87,0.37,1.19,167,4.52
리븐,연구용,64.0,0.22,0.18,100,4.51
자르반 4세,연구용,63.64,0.02,0.15,11,4.46
볼리베어,연구용,62.5,0.02,0.32,8,4.4
우디르,연구용,62.5,0.02,0.14,8,4.38
브라이어,연구용,61.54,0.03,0.08,13,4.31
아이번,연구용,60.71,0.06,0.25,28,4.27
진,연구용,60.0,0.01,0.28,5,4.22
럼블,연구용,47.62,0.24,10.84,105,4.19
쉔,연구용,59.09,0.05,0.16,22,4.15
니달리,연구용,50.0,0.0,5.95,2,3.96
나서스,연구용,55.56,0.1,0.06,45,3.9
직스,연구용,55.11,0.39,0.15,176,3.9
모르가나,연구용,54.05,0.41,0.68,185,3.87
코그모,연구용,55.0,0.04,0.03,20,3.85
트위치,연구용,54.84,0.07,0.15,31,3.85
크산테,연구용,52.48,0.23,2.12,101,3.85
신지드,연구용,53.85,0.47,0.63,208,3.85
드레이븐,연구용,43.75,0.04,10.12,16,3.85
하이머딩거,연구용,54.17,0.11,0.48,48,3.83
우르곳,연구용,54.55,0.07,0.13,33,3.83
아펠리오스,연구용,28.57,0.02,23.17,7,3.79
잭스,연구용,42.31,0.06,10.53,26,3.78
오른,연구용,53.85,0.03,0.02,13,3.77
그웬,연구용,50.0,0.05,1.79,22,3.64
갱플랭크,연구용,48.24,0.19,3.17,85,3.63
렉사이,연구용,50.0,0.0,1.7,2,3.63
세트,연구용,51.06,0.11,0.14,47,3.59
루시안,연구용,44.55,0.25,5.76,110,3.58
벨베스,연구용,50.0,0.02,0.92,8,3.57
클레드,연구용,50.4,0.28,0.24,125,3.56
이즈리얼,연구용,46.94,0.11,3.47,49,3.56
카직스,연구용,50.0,0.0,0.72,2,3.55
자크,연구용,49.53,0.48,0.66,214,3.55
세주아니,연구용,50.0,0.04,0.05,20,3.5
세나,연구용,50.0,0.0,0.06,2,3.5
탐 켄치,연구용,50.0,0.01,0.05,6,3.5
마오카이,연구용,50.0,0.0,0.05,2,3.5
모데카이저,연구용,49.21,0.14,0.15,63,3.46
마스터 이,연구용,48.57,0.08,0.22,35,3.42
가렌,연구용,48.28,0.2,0.21,87,3.41
벨코즈,연구용,47.69,0.29,0.28,130,3.38
카르마,연구용,45.31,0.29,2.41,128,3.38
자헨,연구용,43.75,0.18,3.88,80,3.37
질리언,연구용,47.62,0.14,0.08,63,3.35
아트록스,연구용,46.03,0.28,1.07,126,3.32
카밀,연구용,47.22,0.08,0.11,36,3.32
유나라,연구용,43.48,0.05,2.76,23,3.26
자이라,연구용,44.12,0.08,2.01,34,3.25
트린다미어,연구용,44.85,0.44,0.76,194,3.23
피들스틱,연구용,45.24,0.09,0.51,42,3.21
케일,연구용,45.65,0.1,0.09,46,3.21
바이,연구용,44.44,0.02,0.62,9,3.16
제리,연구용,44.9,0.11,0.06,49,3.15
녹턴,연구용,43.84,0.16,0.23,73,3.1
시비르,연구용,41.67,0.03,1.85,12,3.06
일라오이,연구용,42.86,0.03,0.2,14,3.01
워윅,연구용,42.11,0.09,0.35,38,2.98
룰루,연구용,39.02,0.09,2.84,41,2.96
브랜드,연구용,41.67,0.13,0.03,60,2.93
나르,연구용,40.0,0.03,1.6,15,2.92
미스 포츈,연구용,33.33,0.01,7.54,3,2.91
티모,연구용,40.0,0.02,0.49,10,2.84
신 짜오,연구용,40.0,0.06,0.33,25,2.83
베인,연구용,40.0,0.06,0.28,25,2.82
카서스,연구용,31.82,0.1,7.59,44,2.82
초가스,연구용,39.73,0.16,0.04,73,2.79
노틸러스,연구용,33.33,0.02,4.79,9,2.7
문도 박사,연구용,36.36,0.02,0.57,11,2.59
그레이브즈,연구용,36.36,0.02,0.55,11,2.59
퀸,연구용,34.72,0.16,0.17,72,2.45
세라핀,연구용,34.69,0.11,0.12,49,2.44
소라카,연구용,33.33,0.01,0.07,3,2.34
카이사,연구용,32.43,0.08,0.76,37,2.33
요릭,연구용,25.0,0.04,0.99,20,1.83
징크스,연구용,25.0,0.01,0.49,4,1.79
오공,연구용,20.0,0.01,0.1,5,1.41
이블린,연구용,16.67,0.01,0.34,6,1.19
샤코,연구용,0.0,0.0,4.3,1,0.33
애쉬,연구용,0.0,0.01,1.5,3,0.11
킨드레드,연구용,0.0,0.0,0.39,1,0.03
타릭,연구용,0.0,0.0,0.1,2,0.0
소나,연구용,0.0,0.0,0.09,1,0.0
밀리오,연구용,0.0,0.0,0.06,1,0.0
