champion,tier,win_rate,pick_rate,ban_rate,pick_count,op_score
아칼리,연구용,100.0,0.01,16.91,3,8.33
제이스,연구용,75.0,0.04,38.2,20,8.25
피오라,연구용,100.0,0.01,7.01,4,7.55
시비르,연구용,100.0,0.0,1.85,1,7.14
빅토르,연구용,100.0,0.0,1.85,1,7.14
리븐,연구용,100.0,0.0,0.18,1,7.01
퀸,연구용,100.0,0.0,0.17,2,7.01
나서스,연구용,100.0,0.0,0.06,2,7.0
케인,연구용,100.0,0.0,0.06,1,7.0
코그모,연구용,75.0,0.02,0.03,8,5.25
잭스,연구용,60.71,0.06,10.53,28,5.08
미스 포츈,연구용,60.0,0.01,7.54,5,4.79
요릭,연구용,66.67,0.01,0.99,3,4.74
벨베스,연구용,66.67,0.01,0.92,6,4.74
카시오페아,연구용,65.52,0.07,1.65,29,4.72
티모,연구용,66.67,0.02,0.49,9,4.7
마스터 이,연구용,66.67,0.01,0.22,3,4.68
우디르,연구용,64.29,0.03,0.14,14,4.51
조이,연구용,50.48,0.47,11.99,210,4.51
키아나,연구용,46.67,0.1,15.28,45,4.47
케넨,연구용,59.52,0.19,3.0,84,4.41
아이번,연구용,61.9,0.05,0.25,21,4.35
모데카이저,연구용,60.0,0.01,0.15,5,4.21
오른,연구용,60.0,0.02,0.02,10,4.2
누누와 윌럼프,연구용,59.09,0.05,0.69,22,4.19
에코,연구용,52.17,0.05,5.74,23,4.1
리산드라,연구용,57.14,0.09,0.1,42,4.01
럼블,연구용,44.83,0.07,10.84,29,3.99
흐웨이,연구용,55.67,0.22,0.43,97,3.94
바이,연구용,55.56,0.04,0.62,18,3.94
베인,연구용,55.88,0.08,0.28,34,3.94
그라가스,연구용,55.91,0.21,0.04,93,3.93
야스오,연구용,50.0,0.01,5.41,4,3.92
자르반 4세,연구용,53.85,0.2,0.15,91,3.79
갈리오,연구용,51.15,0.49,1.73,217,3.75
탈리야,연구용,52.63,0.17,0.44,76,3.73
애쉬,연구용,51.25,0.18,1.5,80,3.72
세주아니,연구용,52.63,0.04,0.05,19,3.69
렝가,연구용,51.2,0.28,0.96,125,3.68
말파이트,연구용,21.43,0.03,27.33,14,3.65
나르,연구용,50.0,0.0,1.6,2,3.62
아무무,연구용,51.0,0.22,0.22,100,3.6
카서스,연구용,42.86,0.02,7.59,7,3.59
벡스,연구용,50.0,0.01,1.16,4,3.59
아트록스,연구용,50.0,0.01,1.07,4,3.58
다이애나,연구용,50.0,0.0,0.65,2,3.55
진,연구용,50.0,0.03,0.28,12,3.52
가렌,연구용,50.0,0.01,0.21,4,3.51
아우렐리온 솔,연구용,50.0,0.0,0.15,2,3.51
스카너,연구용,49.28,0.31,0.04,138,3.47
하이머딩거,연구용,48.48,0.3,0.48,132,3.45
리 신,연구용,35.0,0.04,12.53,20,3.43
자크,연구용,48.0,0.22,0.66,100,3.43
오리아나,연구용,40.74,0.06,7.14,27,3.41
신지드,연구용,47.62,0.05,0.63,21,3.38
이즈리얼,연구용,44.44,0.02,3.47,9,3.38
쉔,연구용,47.57,0.46,0.16,206,3.38
브랜드,연구용,46.28,0.27,0.03,121,3.26
람머스,연구용,45.98,0.39,0.14,174,3.26
트런들,연구용,45.45,0.05,0.04,22,3.19
사이온,연구용,44.83,0.07,0.23,29,3.16
트위치,연구용,44.62,0.15,0.15,65,3.14
초가스,연구용,44.44,0.04,0.04,18,3.11
세트,연구용,43.86,0.13,0.14,57,3.09
카타리나,연구용,40.0,0.01,3.1,5,3.04
오공,연구용,42.31,0.06,0.1,26,2.97
신드라,연구용,40.91,0.05,1.1,22,2.95
트위스티드 페이트,연구용,40.0,0.04,1.69,20,2.93
케이틀린,연구용,37.5,0.04,3.67,16,2.91
나피리,연구용,40.0,0.01,0.62,5,2.85
크산테,연구용,38.18,0.12,2.12,55,2.85
피즈,연구용,40.0,0.01,0.2,5,2.81
직스,연구용,40.0,0.02,0.15,10,2.81
베이가,연구용,39.47,0.17,0.07,76,2.78
애니,연구용,38.46,0.03,0.05,13,2.7
비에고,연구용,37.5,0.02,0.77,8,2.68
아지르,연구용,37.5,0.02,0.51,8,2.66
자헨,연구용,33.33,0.01,3.88,3,2.64
다리우스,연구용,33.33,0.01,2.5,3,2.53
트린다미어,연구용,33.33,0.01,0.76,6,2.39
아리,연구용,33.33,0.03,0.13,15,2.34
칼리스타,연구용,33.33,0.01,0.08,3,2.34
아크샨,연구용,30.0,0.02,1.23,10,2.2
문도 박사,연구용,29.41,0.04,0.57,17,2.1
녹턴,연구용,28.57,0.02,0.23,7,2.02
신 짜오,연구용,27.27,0.02,0.33,11,1.93
오로라,연구용,25.0,0.01,0.69,4,1.8
바루스,연구용,22.22,0.02,1.19,9,1.65
클레드,연구용,22.22,0.02,0.24,9,1.57
렉사이,연구용,20.0,0.01,1.7,5,1.53
제드,연구용,11.11,0.02,9.53,9,1.52
말자하,연구용,16.67,0.01,0.19,6,1.18
드레이븐,연구용,0.0,0.0,10.12,1,0.79
갱플랭크,연구용,0.0,0.0,3.17,1,0.25
유나라,연구용,0.0,0.0,2.76,1,0.21
탈론,연구용,0.0,0.0,2.44,2,0.19
그웬,연구용,0.0,0.0,1.79,1,0.14
그레이브즈,연구용,0.0,0.0,0.55,1,0.04
워윅,연구용,0.0,0.0,0.35,1,0.02
볼리베어,연구용,0.0,0.0,0.32,1,0.02
스몰더,연구용,0.0,0.0,0.15,2,0.01
사미라,연구용,0.0,0.0,0.13,1,0.01
우르곳,연구용,0.0,0.0,0.13,2,0.01
