champion,tier,win_rate,pick_rate,ban_rate,pick_count,op_score
시비르,연구용,100.0,0.0,1.85,1,7.13
바드,연구용,100.0,0.0,1.81,1,7.13
킨드레드,연구용,100.0,0.0,0.39,1,7.03
잔나,연구용,100.0,0.0,0.05,1,7.0
벡스,연구용,81.82,0.02,1.16,11,5.81
르블랑,연구용,52.94,0.08,23.32,34,5.41
엘리스,연구용,66.67,0.03,8.45,12,5.28
자이라,연구용,66.67,0.01,2.01,3,4.81
모르가나,연구용,66.67,0.01,0.68,3,4.72
럭스,연구용,66.67,0.01,0.1,6,4.67
세나,연구용,66.67,0.03,0.06,15,4.67
신드라,연구용,62.86,0.08,1.1,35,4.48
이즈리얼,연구용,60.0,0.01,3.47,5,4.45
람머스,연구용,63.33,0.07,0.14,30,4.45
조이,연구용,50.0,0.11,11.99,50,4.38
베이가,연구용,61.54,0.03,0.07,13,4.31
룰루,연구용,57.4,0.38,2.84,169,4.25
다이애나,연구용,59.57,0.11,0.65,47,4.22
니코,연구용,54.22,0.19,5.22,83,4.19
제드,연구용,48.57,0.39,9.53,175,4.12
리 신,연구용,44.97,0.33,12.53,149,4.08
니달리,연구용,51.41,0.4,5.95,177,4.06
탈론,연구용,55.0,0.04,2.44,20,4.03
리산드라,연구용,56.55,0.33,0.1,145,3.99
아이번,연구용,56.2,0.27,0.25,121,3.97
트리스타나,연구용,54.84,0.14,1.5,62,3.96
아지르,연구용,55.63,0.34,0.51,151,3.95
비에고,연구용,55.17,0.13,0.77,58,3.93
탈리야,연구용,55.56,0.02,0.44,9,3.92
트위스티드 페이트,연구용,54.0,0.11,1.69,50,3.91
노틸러스,연구용,50.0,0.0,4.79,2,3.85
빅토르,연구용,52.54,0.13,1.85,59,3.82
흐웨이,연구용,53.85,0.03,0.43,13,3.8
루시안,연구용,48.15,0.12,5.76,54,3.8
카이사,연구용,52.17,0.05,0.76,23,3.71
나피리,연구용,52.17,0.15,0.62,69,3.71
키아나,연구용,35.87,0.21,15.28,92,3.64
벨베스,연구용,50.0,0.19,0.92,84,3.58
릴리아,연구용,50.0,0.0,0.7,2,3.55
녹턴,연구용,49.49,0.44,0.23,198,3.51
카사딘,연구용,50.0,0.1,0.09,44,3.51
타릭,연구용,50.0,0.01,0.1,4,3.51
애니,연구용,50.0,0.0,0.05,2,3.5
트런들,연구용,49.59,0.28,0.04,123,3.49
아크샨,연구용,48.0,0.17,1.23,75,3.46
벨코즈,연구용,48.48,0.07,0.28,33,3.42
코르키,연구용,48.42,0.21,0.06,95,3.41
스카너,연구용,47.37,0.04,0.04,19,3.32
에코,연구용,41.3,0.1,5.74,46,3.32
초가스,연구용,46.6,0.43,0.04,191,3.29
카타리나,연구용,43.75,0.07,3.1,32,3.29
케인,연구용,45.57,0.18,0.06,79,3.21
마오카이,연구용,45.15,0.46,0.05,206,3.2
소라카,연구용,45.16,0.07,0.07,31,3.17
마스터 이,연구용,44.68,0.21,0.22,94,3.16
바이,연구용,44.44,0.04,0.62,18,3.16
자르반 4세,연구용,44.44,0.04,0.15,18,3.12
케이틀린,연구용,40.0,0.02,3.67,10,3.07
카르마,연구용,40.96,0.19,2.41,83,3.06
쉬바나,연구용,42.86,0.02,0.0,7,3.0
오리아나,연구용,34.88,0.1,7.14,43,2.97
질리언,연구용,41.67,0.03,0.08,12,2.92
피들스틱,연구용,40.35,0.13,0.51,57,2.87
스몰더,연구용,40.62,0.22,0.15,96,2.87
말자하,연구용,40.0,0.11,0.19,50,2.82
멜,연구용,33.33,0.01,5.24,3,2.71
쓰레쉬,연구용,33.33,0.01,2.7,3,2.53
아리,연구용,35.0,0.04,0.13,20,2.46
알리스타,연구용,33.33,0.01,1.13,3,2.41
누누와 윌럼프,연구용,33.33,0.01,0.69,3,2.38
진,연구용,33.33,0.01,0.28,3,2.35
제리,연구용,33.33,0.01,0.06,6,2.34
카서스,연구용,25.0,0.02,7.59,8,2.3
브라이어,연구용,30.77,0.03,0.08,13,2.16
브랜드,연구용,29.41,0.04,0.03,17,2.06
그레이브즈,연구용,26.67,0.07,0.55,30,1.91
이블린,연구용,25.0,0.02,0.34,8,1.77
아우렐리온 솔,연구용,25.0,0.01,0.15,4,1.76
칼리스타,연구용,25.0,0.03,0.08,12,1.76
아펠리오스,연구용,0.0,0.01,23.17,3,1.69
피즈,연구용,23.08,0.03,0.2,13,1.63
샤코,연구용,16.67,0.01,4.3,6,1.48
코그모,연구용,14.29,0.02,0.03,7,1.0
미스 포츈,연구용,0.0,0.0,7.54,1,0.55
블리츠크랭크,연구용,0.0,0.0,4.76,1,0.35
유나라,연구용,0.0,0.0,2.76,1,0.2
헤카림,연구용,0.0,0.0,1.56,2,0.11
카직스,연구용,0.0,0.0,0.72,1,0.05
닐라,연구용,0.0,0.0,0.53,1,0.04
징크스,연구용,0.0,0.0,0.49,1,0.03
렐,연구용,0.0,0.0,0.45,2,0.03
제라스,연구용,0.0,0.0,0.26,1,0.02
트위치,연구용,0.0,0.0,0.15,1,0.01
자야,연구용,0.0,0.0,0.13,1,0.01
